id,facet,facet_id,topic_id,topic,image1_1,image1_2,image1_3,image2_1,image2_2,image2_3,query
0,"""Find the TIME magazine photo essay """"Barack Obama's Family Tree"""".""",F0001,1,obama family tree,1_Q05588_1646_1.jpg,1_Q05588_1646_2.jpg,1_Q05588_1646_3.jpg,1_Q05589_1647_1.jpg,1_Q05589_1647_2.jpg,1_Q05589_1647_3.jpg,View pictures of Obama with his family in Kenya from TIME magazine.
1,"""Find the TIME magazine photo essay """"Barack Obama's Family Tree"""".""",F0001,1,obama family tree,1_Q05588_1646_1.jpg,1_Q05588_1646_2.jpg,1_Q05588_1646_3.jpg,1_Q03442_948_1.jpg,1_Q03442_948_2.jpg,1_Q03442_948_3.jpg,The user is interested in viewing the Time magazine photo essay on Barack Obama's family tree.
2,"""Find the TIME magazine photo essay """"Barack Obama's Family Tree"""".""",F0001,1,obama family tree,1_Q05592_1650_1.jpg,1_Q05592_1650_2.jpg,1_Q05592_1650_3.jpg,1_Q05589_1647_1.jpg,1_Q05589_1647_2.jpg,1_Q05589_1647_3.jpg,Explore pictures of Obama with his family in Kenya from TIME magazine.
3,"""Find the TIME magazine photo essay """"Barack Obama's Family Tree"""".""",F0001,1,obama family tree,1_Q05592_1650_1.jpg,1_Q05592_1650_2.jpg,1_Q05592_1650_3.jpg,1_Q05589_1647_1.jpg,1_Q05589_1647_2.jpg,1_Q05589_1647_3.jpg,"The user is interested in learning more about the Obamas, specifically seeking pictures of Obama with his family in Kenya from TIME magazine."
4,"""Find the TIME magazine photo essay """"Barack Obama's Family Tree"""".""",F0001,1,obama family tree,1_Q05588_1646_1.jpg,1_Q05588_1646_2.jpg,1_Q05588_1646_3.jpg,1_Q05591_1649_1.jpg,1_Q05591_1649_2.jpg,1_Q05591_1649_3.jpg,"Find the Time magazine photo essay called ""Barack Obama's Family Tree."""
5,"""Find the TIME magazine photo essay """"Barack Obama's Family Tree"""".""",F0001,1,obama family tree,1_Q03351_1776_1.jpg,1_Q03351_1776_2.jpg,1_Q03351_1776_3.jpg,1_Q03071_1965_1.jpg,1_Q03071_1965_2.jpg,1_Q03071_1965_3.jpg,The user wants to read an article from Time magazine about President Obama's family tree.
6,Where did Barack Obama's parents and grandparents come from?,F0002,1,obama family tree,1_Q02527_2079_1.jpg,1_Q02527_2079_2.jpg,1_Q02527_2079_3.jpg,1_Q05591_1649_1.jpg,1_Q05591_1649_2.jpg,1_Q05591_1649_3.jpg,The user wants to know about Barack Obama's parents and grandparents' origins.
7,Where did Barack Obama's parents and grandparents come from?,F0002,1,obama family tree,1_Q02950_990_1.jpg,1_Q02950_990_2.jpg,1_Q02950_990_3.jpg,1_Q01286_2831_1.jpg,1_Q01286_2831_2.jpg,1_Q01286_2831_3.jpg,Learn about Barack Obama's family background and the origins of his parents and grandparents.
8,Where did Barack Obama's parents and grandparents come from?,F0002,1,obama family tree,1_Q02950_990_1.jpg,1_Q02950_990_2.jpg,1_Q02950_990_3.jpg,1_Q01286_2831_1.jpg,1_Q01286_2831_2.jpg,1_Q01286_2831_3.jpg,"The user is interested in learning about the family background and heritage of Barack Obama, including the origins of his parents and grandparents."
9,Find biographical information on Barack Obama's mother.,F0003,1,obama family tree,1_Q03071_1965_1.jpg,1_Q03071_1965_2.jpg,1_Q03071_1965_3.jpg,1_Q00769_3039_1.jpg,1_Q00769_3039_2.jpg,1_Q00769_3039_3.jpg,The user is interested in biographical information on Barack Obama's mother.
10,Find biographical information on Barack Obama's mother.,F0003,1,obama family tree,1_Q05589_1647_1.jpg,1_Q05589_1647_2.jpg,1_Q05589_1647_3.jpg,1_Q03023_362_1.jpg,1_Q03023_362_2.jpg,1_Q03023_362_3.jpg,Finding biographical information on Barack Obama's mother.
11,Find biographical information on Barack Obama's mother.,F0003,1,obama family tree,1_Q05592_1650_1.jpg,1_Q05592_1650_2.jpg,1_Q05592_1650_3.jpg,1_Q05588_1646_1.jpg,1_Q05588_1646_2.jpg,1_Q05588_1646_3.jpg,The user's intent is to learn about the Obama family's background.
12,Find biographical information on Barack Obama's mother.,F0003,1,obama family tree,1_Q05589_1647_1.jpg,1_Q05589_1647_2.jpg,1_Q05589_1647_3.jpg,1_Q03023_362_1.jpg,1_Q03023_362_2.jpg,1_Q03023_362_3.jpg,Find biographical information on Barack Obama's mother.
13,What are some low-cost broadband internet providers?,F0004,10,cheap internet,10_Q00309_3635_1.jpg,10_Q00309_3635_2.jpg,10_Q00309_3635_3.jpg,10_Q05641_1699_1.jpg,10_Q05641_1699_2.jpg,10_Q05641_1699_3.jpg,Exploring affordable internet provider options.
14,What are some low-cost broadband internet providers?,F0004,10,cheap internet,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,10_Q00734_102_1.jpg,10_Q00734_102_2.jpg,10_Q00734_102_3.jpg,Looking for affordable broadband internet packages and deals.
15,What are some low-cost broadband internet providers?,F0004,10,cheap internet,10_Q01453_944_1.jpg,10_Q01453_944_2.jpg,10_Q01453_944_3.jpg,10_Q00734_102_1.jpg,10_Q00734_102_2.jpg,10_Q00734_102_3.jpg,Looking for affordable broadband internet providers and bundles or deals.
16,What are some low-cost broadband internet providers?,F0004,10,cheap internet,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,10_Q02654_434_1.jpg,10_Q02654_434_2.jpg,10_Q02654_434_3.jpg,The user is interested in knowing about low-cost broadband internet providers.
17,What are some low-cost broadband internet providers?,F0004,10,cheap internet,10_Q01453_944_1.jpg,10_Q01453_944_2.jpg,10_Q01453_944_3.jpg,10_Q00889_2999_1.jpg,10_Q00889_2999_2.jpg,10_Q00889_2999_3.jpg,Explore options for affordable internet services and find low-cost providers.
18,What are some low-cost broadband internet providers?,F0004,10,cheap internet,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,10_Q01462_1234_1.jpg,10_Q01462_1234_2.jpg,10_Q01462_1234_3.jpg,Explore low-cost broadband internet providers.
19,What are some low-cost broadband internet providers?,F0004,10,cheap internet,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,10_Q00734_102_1.jpg,10_Q00734_102_2.jpg,10_Q00734_102_3.jpg,Looking for low-cost broadband internet providers and deals.
20,What are some low-cost broadband internet providers?,F0004,10,cheap internet,10_Q02754_1957_1.jpg,10_Q02754_1957_2.jpg,10_Q02754_1957_3.jpg,10_Q00198_3297_1.jpg,10_Q00198_3297_2.jpg,10_Q00198_3297_3.jpg,Find low-cost broadband internet providers.
21,What are some low-cost broadband internet providers?,F0004,10,cheap internet,10_Q02754_1957_1.jpg,10_Q02754_1957_2.jpg,10_Q02754_1957_3.jpg,10_Q00198_3297_1.jpg,10_Q00198_3297_2.jpg,10_Q00198_3297_3.jpg,Find low-cost broadband internet providers.
22,Do any internet providers still sell dial-up?,F0005,10,cheap internet,10_Q00734_102_1.jpg,10_Q00734_102_2.jpg,10_Q00734_102_3.jpg,10_Q01144_1362_1.jpg,10_Q01144_1362_2.jpg,10_Q01144_1362_3.jpg,"Inquiring about the availability of cheap internet options, specifically dial-up."
23,Do any internet providers still sell dial-up?,F0005,10,cheap internet,10_Q02654_434_1.jpg,10_Q02654_434_2.jpg,10_Q02654_434_3.jpg,10_Q01453_944_1.jpg,10_Q01453_944_2.jpg,10_Q01453_944_3.jpg,The user is interested in exploring internet options and specifically wants to know if internet providers still sell dial-up.
