facet,facet_id,topic_id,topic,image1_1,image1_2,image1_3,image2_1,image2_2,image2_3,image3_1,image3_2,image3_3,image4_1,image4_2,image4_3,query
"""how to play the board game """"Source of the Nile""""""",F0143,135,source of the nile,135_Q03042_1919_1.jpg,135_Q03042_1919_2.jpg,135_Q03042_1919_3.jpg,135_Q02328_1013_1.jpg,135_Q02328_1013_2.jpg,135_Q02328_1013_3.jpg,135_Q03673_2280_1.jpg,135_Q03673_2280_2.jpg,135_Q03673_2280_3.jpg,135_Q05202_1260_1.jpg,135_Q05202_1260_2.jpg,135_Q05202_1260_3.jpg,"Learn how to play the game ""Source of the Nile."""
Find Barret's Esophagus studies performed at the Mayo Clinic.,F0603,254,barrett's esophagus,254_Q05605_1663_1.jpg,254_Q05605_1663_2.jpg,254_Q05605_1663_3.jpg,254_Q03382_1931_1.jpg,254_Q03382_1931_2.jpg,254_Q03382_1931_3.jpg,254_Q03429_2556_1.jpg,254_Q03429_2556_2.jpg,254_Q03429_2556_3.jpg,254_Q03833_1985_1.jpg,254_Q03833_1985_2.jpg,254_Q03833_1985_3.jpg,Interested in accessing studies or papers related to Barrett's Esophagus from the Mayo Clinic.
How is CTS treated?,F0474,213,carpal tunnel syndrome,213_Q02389_3049_1.jpg,213_Q02389_3049_2.jpg,213_Q02389_3049_3.jpg,213_Q02250_2052_1.jpg,213_Q02250_2052_2.jpg,213_Q02250_2052_3.jpg,213_Q00572_3221_1.jpg,213_Q00572_3221_2.jpg,213_Q00572_3221_3.jpg,213_Q05612_1670_1.jpg,213_Q05612_1670_2.jpg,213_Q05612_1670_3.jpg,Finding out how carpal tunnel syndrome is treated.
Find home remedies for a sore throat.,F0395,196,sore throat,196_Q00939_1620_1.jpg,196_Q00939_1620_2.jpg,196_Q00939_1620_3.jpg,196_Q05377_1435_1.jpg,196_Q05377_1435_2.jpg,196_Q05377_1435_3.jpg,196_Q03558_3272_1.jpg,196_Q03558_3272_2.jpg,196_Q03558_3272_3.jpg,196_Q05380_1438_1.jpg,196_Q05380_1438_2.jpg,196_Q05380_1438_3.jpg,Primarily interested in natural solutions and home remedies for throat discomfort.
Where can I buy teddy bears wholesale?,F0608,255,teddy bears,255_Q00094_1640_1.jpg,255_Q00094_1640_2.jpg,255_Q00094_1640_3.jpg,255_Q03309_2541_1.jpg,255_Q03309_2541_2.jpg,255_Q03309_2541_3.jpg,255_Q01140_1069_1.jpg,255_Q01140_1069_2.jpg,255_Q01140_1069_3.jpg,255_Q02334_1636_1.jpg,255_Q02334_1636_2.jpg,255_Q02334_1636_3.jpg,Interested in buying wholesale teddy bears.
What is pink slime?,F0759,299,pink slime in ground beef,299_Q02265_1230_1.jpg,299_Q02265_1230_2.jpg,299_Q02265_1230_3.jpg,299_Q02440_3915_1.jpg,299_Q02440_3915_2.jpg,299_Q02440_3915_3.jpg,299_Q02135_2520_1.jpg,299_Q02135_2520_2.jpg,299_Q02135_2520_3.jpg,299_Q03911_1586_1.jpg,299_Q03911_1586_2.jpg,299_Q03911_1586_3.jpg,"Learning about the definition, characteristics, and production process of pink slime."
What treatments are available for Barrett's Esophagus?,F0598,254,barrett's esophagus,254_Q03836_363_1.jpg,254_Q03836_363_2.jpg,254_Q03836_363_3.jpg,254_Q00559_26_1.jpg,254_Q00559_26_2.jpg,254_Q00559_26_3.jpg,254_Q03352_3863_1.jpg,254_Q03352_3863_2.jpg,254_Q03352_3863_3.jpg,254_Q03707_997_1.jpg,254_Q03707_997_2.jpg,254_Q03707_997_3.jpg,Learn about treatment options available for Barrett's Esophagus.
Find information about iron as an essential nutrient.,F0879,55,iron,55_Q03128_2894_1.jpg,55_Q03128_2894_2.jpg,55_Q03128_2894_3.jpg,55_Q01143_2679_1.jpg,55_Q01143_2679_2.jpg,55_Q01143_2679_3.jpg,55_Q05358_1416_1.jpg,55_Q05358_1416_2.jpg,55_Q05358_1416_3.jpg,55_Q03511_1252_1.jpg,55_Q03511_1252_2.jpg,55_Q03511_1252_3.jpg,Seeking information about iron as an essential nutrient.
Find Discovery Channel store products based on the Animal Planet program.,F0872,53,discovery channel store,53_Q01587_896_1.jpg,53_Q01587_896_2.jpg,53_Q01587_896_3.jpg,53_Q01182_1899_1.jpg,53_Q01182_1899_2.jpg,53_Q01182_1899_3.jpg,53_Q04725_783_1.jpg,53_Q04724_782_2.jpg,53_Q04724_782_3.jpg,53_Q00649_1873_1.jpg,53_Q00649_1873_2.jpg,53_Q00649_1873_3.jpg,Explore Discovery Channel store products related to Animal Planet programs.
Find information about human memory.,F0998,83,memory,83_Q01440_1952_1.jpg,83_Q01440_1952_2.jpg,83_Q01440_1952_3.jpg,83_Q00176_1542_1.jpg,83_Q00176_1542_2.jpg,83_Q00176_1542_3.jpg,83_Q01463_2042_1.jpg,83_Q01463_2042_2.jpg,83_Q01463_2042_3.jpg,83_Q03485_3453_1.jpg,83_Q03485_3453_2.jpg,83_Q03485_3453_3.jpg,Find information about human memory and learn how to increase memory.
