id,facet,facet_id,topic_id,topic,question1,answer1,id_1,image1_1,image1_2,image1_3,question2,answer2,id_2,image2_1,image2_2,image2_3,question3,answer3,id_3,image3_1,image3_2,image3_3
0,"""Find the TIME magazine photo essay """"Barack Obama's Family Tree"""".""",F0001,1,obama family tree,Would you like to see pictures of Obama with his family in Kenya?,"No, I am not interested in that.",Q05589,1_Q05589_1647_1.jpg,1_Q05589_1647_2.jpg,1_Q05589_1647_3.jpg,Are you interested in President Obama's family posed near trees?,"I’m not specifically interested in that context, but I am looking for something related to Obama’s family.",Q05591,1_Q05591_1649_1.jpg,1_Q05591_1649_2.jpg,1_Q05591_1649_3.jpg,Would you like to see the family tree with pictures or text?,"I would prefer to see the TIME magazine photo essay ""Barack Obama's Family Tree"" with pictures.",Q05588,1_Q05588_1646_1.jpg,1_Q05588_1646_2.jpg,1_Q05588_1646_3.jpg
1,What are some low-cost broadband internet providers?,F0004,10,cheap internet,Would you like news on cheap internet?,"No, I am not interested in that at the moment.",Q05642,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,Do you want to see deals on cheap internet?,"I am interested in exploring options, particularly those that cater to a specific type of service.",Q05643,10_Q05643_1701_1.jpg,10_Q05643_1701_2.jpg,10_Q05643_1701_3.jpg,what companies have the lowestcost internet service,I'm interested in finding out what some low-cost broadband internet providers are.,Q02754,10_Q02754_1957_1.jpg,10_Q02754_1957_2.jpg,10_Q02754_1957_3.jpg
2,What are some low-cost broadband internet providers?,F0004,10,cheap internet,are you wondering who used cheap internet,"No, I'm not interested in that.",Q01462,10_Q01462_1234_1.jpg,10_Q01462_1234_2.jpg,10_Q01462_1234_3.jpg,how do you know if your internet service is inexpensive,"I'm not entirely certain, but I am interested in exploring options for affordable internet services.",Q02513,10_Q02513_2721_1.jpg,10_Q02513_2721_2.jpg,10_Q02513_2721_3.jpg,are you looking to buy cheap internet,Yes. I am looking for some low-cost broadband internet providers.,Q01144,10_Q01144_1362_1.jpg,10_Q01144_1362_2.jpg,10_Q01144_1362_3.jpg
3,Do any internet providers still sell dial-up?,F0005,10,cheap internet,Do you want to see deals on cheap internet?,"No, I'm not interested in finding deals on internet services.",Q05643,10_Q05643_1701_1.jpg,10_Q05643_1701_2.jpg,10_Q05643_1701_3.jpg,Are you looking for cheap ways to purchase internet traffic?,"I'm not seeking very low-cost options at the moment, but I do have some preferences when it comes to internet services.",Q05640,10_Q05640_1698_1.jpg,10_Q05640_1698_2.jpg,10_Q05640_1698_3.jpg,Are you interested in cheap internet?,"Yes, but i want to know if any internet company uses dial-up",Q05641,10_Q05641_1699_1.jpg,10_Q05641_1699_2.jpg,10_Q05641_1699_3.jpg
4,Do any internet providers still sell dial-up?,F0005,10,cheap internet,are you wondering who used cheap internet,"No, I am not looking for information on dial-up.",Q01462,10_Q01462_1234_1.jpg,10_Q01462_1234_2.jpg,10_Q01462_1234_3.jpg,Would you like a home package deals?,"I’m not interested in home package deals at the moment, but I am exploring other options for internet access.",Q05639,10_Q05639_1697_1.jpg,10_Q05639_1697_2.jpg,10_Q05639_1697_3.jpg,do you already have a phone service,"Yes, I'm looking for dial up internet.",Q01520,10_Q01520_3307_1.jpg,10_Q01520_3307_2.jpg,10_Q01520_3307_3.jpg
5,Do any internet providers still sell dial-up?,F0005,10,cheap internet,Would you like a home package deals?,"No, I’m not interested in those options.",Q05639,10_Q05639_1697_1.jpg,10_Q05639_1697_2.jpg,10_Q05639_1697_3.jpg,Are you looking for cheap ways to purchase internet traffic?,I'm mainly just looking for information about internet options right now.,Q05640,10_Q05640_1698_1.jpg,10_Q05640_1698_2.jpg,10_Q05640_1698_3.jpg,are you looking to buy cheap internet,"Yes, is dial-up still available?",Q01144,10_Q01144_1362_1.jpg,10_Q01144_1362_2.jpg,10_Q01144_1362_3.jpg
6,Do any internet providers still sell dial-up?,F0005,10,cheap internet,are you wondering which provider has the cheapest internet,"No, I'm not interested in finding out more about internet providers.",Q01460,10_Q01460_91_1.jpg,10_Q01460_91_2.jpg,10_Q01460_91_3.jpg,Do you want to see deals on cheap internet?,"I'm not interested in deals right now, as I'm exploring my options more broadly.",Q05643,10_Q05643_1701_1.jpg,10_Q05643_1701_2.jpg,10_Q05643_1701_3.jpg,Would you like news on cheap internet?,yes i need to know if any of them still have dial-up internet,Q05642,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg
7,Who can provide inexpensive digital cable television bundled with internet service?,F0006,10,cheap internet,are you wondering who used cheap internet,"No, I'm not interested in that.",Q01462,10_Q01462_1234_1.jpg,10_Q01462_1234_2.jpg,10_Q01462_1234_3.jpg,what companies have the lowestcost internet service,I am seeking a service that combines different options together.,Q02754,10_Q02754_1957_1.jpg,10_Q02754_1957_2.jpg,10_Q02754_1957_3.jpg,or maybe free internet,yes,Q02654,10_Q02654_434_1.jpg,10_Q02654_434_2.jpg,10_Q02654_434_3.jpg
8,Who can provide inexpensive digital cable television bundled with internet service?,F0006,10,cheap internet,Do you want to see deals on cheap internet?,"No, I'm not interested in that at the moment.",Q05643,10_Q05643_1701_1.jpg,10_Q05643_1701_2.jpg,10_Q05643_1701_3.jpg,are you looking for any bundles or deals,I have some preferences in mind and am particularly interested in options that combine television and internet services at a reasonable cost.,Q00734,10_Q00734_102_1.jpg,10_Q00734_102_2.jpg,10_Q00734_102_3.jpg,Would you like a home package deals?,"Yes, I’m interested in home package deals that include inexpensive digital cable television bundled with internet service.",Q05639,10_Q05639_1697_1.jpg,10_Q05639_1697_2.jpg,10_Q05639_1697_3.jpg
9,Who can provide inexpensive digital cable television bundled with internet service?,F0006,10,cheap internet,are you wondering where cheap internet is,"No, I'm not looking for cheap internet options at the moment.",Q01453,10_Q01453_944_1.jpg,10_Q01453_944_2.jpg,10_Q01453_944_3.jpg,how do you know if your internet service is inexpensive,I’m interested in options for digital cable and internet packages that are affordable.,Q02513,10_Q02513_2721_1.jpg,10_Q02513_2721_2.jpg,10_Q02513_2721_3.jpg,Would you like to see the the cheapest internet providers?,Which one of these companies offers cable too?,Q05638,10_Q05638_1696_1.jpg,10_Q05638_1696_2.jpg,10_Q05638_1696_3.jpg
10,Find me some providers of free wireless internet access.,F0007,10,cheap internet,Would you like a home package deals?,"No, I'm only interested in free wireless internet access.",Q05639,10_Q05639_1697_1.jpg,10_Q05639_1697_2.jpg,10_Q05639_1697_3.jpg,are you wondering where cheap internet is,I’m interested in finding options that are budget-friendly when it comes to internet service.,Q01453,10_Q01453_944_1.jpg,10_Q01453_944_2.jpg,10_Q01453_944_3.jpg,Are you looking for cheap ways to purchase internet traffic?,"no, I'm looking for some providers of free wireless internet access.",Q05640,10_Q05640_1698_1.jpg,10_Q05640_1698_2.jpg,10_Q05640_1698_3.jpg
11,Find me some providers of free wireless internet access.,F0007,10,cheap internet,Would you like a home package deals?,"No, I am only interested in free wireless internet access options.",Q05639,10_Q05639_1697_1.jpg,10_Q05639_1697_2.jpg,10_Q05639_1697_3.jpg,are you wondering where cheap internet is,"I’m exploring my options when it comes to internet access, especially regarding affordability.",Q01453,10_Q01453_944_1.jpg,10_Q01453_944_2.jpg,10_Q01453_944_3.jpg,Are you looking for cheap ways to purchase internet traffic?,"no, I'm looking for some providers of free wireless internet access.",Q05640,10_Q05640_1698_1.jpg,10_Q05640_1698_2.jpg,10_Q05640_1698_3.jpg
12,I want to find cheap DSL providers.,F0008,10,cheap internet,are you wondering who used cheap internet,"No, I'm not exploring who used cheap internet.",Q01462,10_Q01462_1234_1.jpg,10_Q01462_1234_2.jpg,10_Q01462_1234_3.jpg,how do you know if your internet service is inexpensive,"I have some preferences regarding internet service, but I'm still exploring my options.",Q02513,10_Q02513_2721_1.jpg,10_Q02513_2721_2.jpg,10_Q02513_2721_3.jpg,are you looking for information on any specific internet technology,"Yes, DSL, I am looking to find cheap providers.",Q00889,10_Q00889_2999_1.jpg,10_Q00889_2999_2.jpg,10_Q00889_2999_3.jpg
13,I want to find cheap DSL providers.,F0008,10,cheap internet,are you looking for information on any specific internet technology,"No, I am not looking for information on any specific internet technology.",Q00889,10_Q00889_2999_1.jpg,10_Q00889_2999_2.jpg,10_Q00889_2999_3.jpg,Would you like news on cheap internet?,I'm not particularly interested in updates about internet options right now.,Q05642,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,Are you looking for cheap ways to purchase internet traffic?,"Yes, I am looking for cheap DSL providers.",Q05640,10_Q05640_1698_1.jpg,10_Q05640_1698_2.jpg,10_Q05640_1698_3.jpg
14,Is there a way to get internet access without phone service?,F0009,10,cheap internet,Would you like news on cheap internet?,"No, I am not interested in news about internet options.",Q05642,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,how do you know if your internet service is inexpensive,I am exploring options for internet access that don't require phone service.,Q02513,10_Q02513_2721_1.jpg,10_Q02513_2721_2.jpg,10_Q02513_2721_3.jpg,are you wondering where cheap internet is,"Yes, but specifically if there is a way to get internet access without phone service.",Q01453,10_Q01453_944_1.jpg,10_Q01453_944_2.jpg,10_Q01453_944_3.jpg
15,Is there a way to get internet access without phone service?,F0009,10,cheap internet,what companies have the lowestcost internet service,"No, I'm not looking for internet service options.",Q02754,10_Q02754_1957_1.jpg,10_Q02754_1957_2.jpg,10_Q02754_1957_3.jpg,Would you like news on cheap internet?,"I'm not particularly interested in that topic at the moment, but I might consider other options related to internet access.",Q05642,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,Would you like to see the the cheapest internet providers?,"Yes, I want to know if there's a way to get internet access without phone service.",Q05638,10_Q05638_1696_1.jpg,10_Q05638_1696_2.jpg,10_Q05638_1696_3.jpg
16,Find directions to the Ritz Carlton Lake Las Vegas.,F0012,101,ritz carlton lake las vegas,Are you interested in the price of the Ritz Carlton in Las Vegas?,"No, I am not looking for information about the price.",Q04390,101_Q04390_448_1.jpg,101_Q04390_448_2.jpg,101_Q04390_448_3.jpg,are you wanting a room at the ritz carlton in las vegas,I'm primarily interested in navigating to a specific location.,Q01397,101_Q01397_1043_1.jpg,101_Q01397_1043_2.jpg,101_Q01397_1043_3.jpg,are you wondering where the ritz carlton in las vegas is located,"Yes, I am looking to find directions to the Ritz Carlton Lake Las Vegas.",Q01457,101_Q01457_425_1.jpg,101_Q01457_425_2.jpg,101_Q01457_425_3.jpg
17,Find general information about Fickle Creek Farm in North Carolina,F0014,102,fickle creek farm,would you like to know where fickle creek farm is on a map,"No, I'm not currently interested in finding that information.",Q03686,102_Q03686_1367_1.jpg,102_Q03686_1367_2.jpg,102_Q03686_1367_3.jpg,Would you like to see pictures of the farm?,"Yes, I’m interested in seeing pictures and learning more about what this place has to offer.",Q04104,102_Q04104_162_1.jpg,102_Q04104_162_2.jpg,102_Q04104_162_3.jpg,do you want to know the location of fickle creek farm,"No, I'm more interested in finding general information about Fickle Creek Farm in North Carolina.",Q02217,102_Q02217_2884_1.jpg,102_Q02217_2884_2.jpg,102_Q02217_2884_3.jpg
18,Find information about staying at the bed and breakfast at Fickle Creek Farm.,F0018,102,fickle creek farm,are you looking for a place which sales products from fickle creek farm,"No, I am not seeking information about products from Fickle Creek Farm.",Q00656,102_Q00656_3766_1.jpg,102_Q00656_3766_2.jpg,102_Q00656_3766_3.jpg,Would you like information about sustainable farming?,"I'm primarily interested in details about staying at the bed and breakfast, rather than other topics.",Q04101,102_Q04101_159_1.jpg,102_Q04101_159_2.jpg,102_Q04101_159_3.jpg,Would you like to see produce?,"No, tell me about lodging.",Q04105,102_Q04105_163_1.jpg,102_Q04105_163_2.jpg,102_Q04105_163_3.jpg
19,Find historical information about Madam C. J. Walker.,F0019,103,madam cj walker,would you like to know about walkers method of perming hair,"No, I'm not interested in learning about that.",Q03436,103_Q03436_1241_1.jpg,103_Q03436_1241_2.jpg,103_Q03436_1241_3.jpg,would you like to see more early africanamerican entrepeneurs,I have a particular interest in a prominent figure in history.,Q03860,103_Q03860_3723_1.jpg,103_Q03860_3723_2.jpg,103_Q03860_3723_3.jpg,are you looking for sarah breedlove,"Yes, I am looking to find historical information about Madam C. J. Walker, who was also known as Sarah Breedlove.",Q01003,103_Q01003_2301_1.jpg,103_Q01003_2301_2.jpg,103_Q01003_2301_3.jpg
20,Find historical information about Madam C. J. Walker.,F0019,103,madam cj walker,would you like to know about walkers method of perming hair,"No, I'm focused on learning about the historical contributions of Madam C.J. Walker.",Q03436,103_Q03436_1241_1.jpg,103_Q03436_1241_2.jpg,103_Q03436_1241_3.jpg,would you like to see more early africanamerican entrepeneurs,I’m currently focusing on a specific historical figure rather than a broader category of entrepreneurs.,Q03860,103_Q03860_3723_1.jpg,103_Q03860_3723_2.jpg,103_Q03860_3723_3.jpg,are you looking for sarah breedlove,"Yes, I am looking for historical information about Madam C. J. Walker, who was also known as Sarah Breedlove.",Q01003,103_Q01003_2301_1.jpg,103_Q01003_2301_2.jpg,103_Q01003_2301_3.jpg
21,Find information about the business that C. J. Walker started.,F0020,103,madam cj walker,would you like to see examples of walkers impact on current hair styling,"No, I'm not interested in that right now.",Q03841,103_Q03841_315_1.jpg,103_Q03841_315_2.jpg,103_Q03841_315_3.jpg,would you like to see more early africanamerican entrepeneurs,"Yes, I'm interested in learning more about notable entrepreneurs.",Q03860,103_Q03860_3723_1.jpg,103_Q03860_3723_2.jpg,103_Q03860_3723_3.jpg,would you like to know about walkers method of perming hair,Tell me about her business.,Q03436,103_Q03436_1241_1.jpg,103_Q03436_1241_2.jpg,103_Q03436_1241_3.jpg
