id,facet,facet_id,topic_id,topic,question1,answer1,question_id1,image1_1,image1_2,image1_3,question2,answer2,question_id2,image2_1,image2_2,image2_3,question3,answer3,question_id3,image3_1,image3_2,image3_3,question4,answer4,question_id4,image4_1,image4_2,image4_3
0,"""Find the TIME magazine photo essay """"Barack Obama's Family Tree"""".""",F0001,1,obama family tree,Would you like to see the family tree with pictures or text?,I'm really interested in visuals for this.,Q05588,1_Q05588_1646_1.jpg,1_Q05588_1646_2.jpg,1_Q05588_1646_3.jpg,Would you like to see pictures of Obama with his family in Kenya?,Only if they are from TIME magazine.,Q05589,1_Q05589_1647_1.jpg,1_Q05589_1647_2.jpg,1_Q05589_1647_3.jpg,,,,,,,,,,,,
1,"""Find the TIME magazine photo essay """"Barack Obama's Family Tree"""".""",F0001,1,obama family tree,Would you like to see the family tree with pictures or text?,I have a preference for visuals over text when it comes to exploring family connections.,Q05588,1_Q05588_1646_1.jpg,1_Q05588_1646_2.jpg,1_Q05588_1646_3.jpg,would you like to know barack obamas geneology,"Yes, but specifically, I want to know about the time magazine photo essay Barack Obama's Family Tree.",Q03442,1_Q03442_948_1.jpg,1_Q03442_948_2.jpg,1_Q03442_948_3.jpg,,,,,,,,,,,,
2,"""Find the TIME magazine photo essay """"Barack Obama's Family Tree"""".""",F0001,1,obama family tree,Are you looking for information about the Obamas and the National Christmas Tree?,"I'm interested in exploring some specific content related to the Obamas, but the Christmas Tree isn't quite what I'm after.",Q05592,1_Q05592_1650_1.jpg,1_Q05592_1650_2.jpg,1_Q05592_1650_3.jpg,Would you like to see pictures of Obama with his family in Kenya?,Only if they are from TIME magazine.,Q05589,1_Q05589_1647_1.jpg,1_Q05589_1647_2.jpg,1_Q05589_1647_3.jpg,,,,,,,,,,,,
3,"""Find the TIME magazine photo essay """"Barack Obama's Family Tree"""".""",F0001,1,obama family tree,Are you looking for information about the Obamas and the National Christmas Tree?,"I can't confirm that, but I am definitely interested in learning more about the Obamas.",Q05592,1_Q05592_1650_1.jpg,1_Q05592_1650_2.jpg,1_Q05592_1650_3.jpg,Would you like to see pictures of Obama with his family in Kenya?,Only if they are from TIME magazine.,Q05589,1_Q05589_1647_1.jpg,1_Q05589_1647_2.jpg,1_Q05589_1647_3.jpg,,,,,,,,,,,,
4,"""Find the TIME magazine photo essay """"Barack Obama's Family Tree"""".""",F0001,1,obama family tree,Would you like to see the family tree with pictures or text?,I'm more interested in a visual representation rather than just text alone.,Q05588,1_Q05588_1646_1.jpg,1_Q05588_1646_2.jpg,1_Q05588_1646_3.jpg,Are you interested in President Obama's family posed near trees?,"No, I want to find the time magazine photo essay called Barack Obama's family tree.",Q05591,1_Q05591_1649_1.jpg,1_Q05591_1649_2.jpg,1_Q05591_1649_3.jpg,,,,,,,,,,,,
5,"""Find the TIME magazine photo essay """"Barack Obama's Family Tree"""".""",F0001,1,obama family tree,would you like to hear about president obamas family tree,"I'm not entirely sure, but I have an interest in learning more about families and their backgrounds.",Q03351,1_Q03351_1776_1.jpg,1_Q03351_1776_2.jpg,1_Q03351_1776_3.jpg,which specific details would you like to learn about obamas heritage,I want the article from Time magazine.,Q03071,1_Q03071_1965_1.jpg,1_Q03071_1965_2.jpg,1_Q03071_1965_3.jpg,,,,,,,,,,,,
6,Where did Barack Obama's parents and grandparents come from?,F0002,1,obama family tree,how many generations would you like me to list from president obamas family tree,"I'm not really sure about the details, but I have a general curiosity about his family's background.",Q02527,1_Q02527_2079_1.jpg,1_Q02527_2079_2.jpg,1_Q02527_2079_3.jpg,Are you interested in President Obama's family posed near trees?,"yes, I want to know where Barack Obama's parents and grandparents come from",Q05591,1_Q05591_1649_1.jpg,1_Q05591_1649_2.jpg,1_Q05591_1649_3.jpg,,,,,,,,,,,,
7,Where did Barack Obama's parents and grandparents come from?,F0002,1,obama family tree,what would you like to know about obamas heritage,"I'm curious about his family's background, but I need more details first.",Q02950,1_Q02950_990_1.jpg,1_Q02950_990_2.jpg,1_Q02950_990_3.jpg,are you referring to the time magazine essay,No. I just want you to tell me where his parents and grandparents came from.,Q01286,1_Q01286_2831_1.jpg,1_Q01286_2831_2.jpg,1_Q01286_2831_3.jpg,,,,,,,,,,,,
8,Where did Barack Obama's parents and grandparents come from?,F0002,1,obama family tree,what would you like to know about obamas heritage,I'm curious about the background of his family.,Q02950,1_Q02950_990_1.jpg,1_Q02950_990_2.jpg,1_Q02950_990_3.jpg,are you referring to the time magazine essay,No. I just want you to tell me where his parents and grandparents came from.,Q01286,1_Q01286_2831_1.jpg,1_Q01286_2831_2.jpg,1_Q01286_2831_3.jpg,,,,,,,,,,,,
9,Find biographical information on Barack Obama's mother.,F0003,1,obama family tree,which specific details would you like to learn about obamas heritage,I'm interested in learning more about her background and family connections.,Q03071,1_Q03071_1965_1.jpg,1_Q03071_1965_2.jpg,1_Q03071_1965_3.jpg,are you looking for biological information on his family,"no, I'm interested in biographical information on Barack Obama's mother.",Q00769,1_Q00769_3039_1.jpg,1_Q00769_3039_2.jpg,1_Q00769_3039_3.jpg,,,,,,,,,,,,
10,Find biographical information on Barack Obama's mother.,F0003,1,obama family tree,Would you like to see pictures of Obama with his family in Kenya?,"I appreciate your interest, but I'm currently more focused on exploring specific details about his family background.",Q05589,1_Q05589_1647_1.jpg,1_Q05589_1647_2.jpg,1_Q05589_1647_3.jpg,which family members of obama are you interested in learning more about,I want to find biographical information on Barack Obama's mother.,Q03023,1_Q03023_362_1.jpg,1_Q03023_362_2.jpg,1_Q03023_362_3.jpg,,,,,,,,,,,,
11,Find biographical information on Barack Obama's mother.,F0003,1,obama family tree,Are you looking for information about the Obamas and the National Christmas Tree?,I'm curious about his family background.,Q05592,1_Q05592_1650_1.jpg,1_Q05592_1650_2.jpg,1_Q05592_1650_3.jpg,Would you like to see the family tree with pictures or text?,No.,Q05588,1_Q05588_1646_1.jpg,1_Q05588_1646_2.jpg,1_Q05588_1646_3.jpg,,,,,,,,,,,,
12,Find biographical information on Barack Obama's mother.,F0003,1,obama family tree,Would you like to see pictures of Obama with his family in Kenya?,"I'm mainly looking for information about someone's background, particularly family details.",Q05589,1_Q05589_1647_1.jpg,1_Q05589_1647_2.jpg,1_Q05589_1647_3.jpg,which family members of obama are you interested in learning more about,I want to find biographical information on Barack Obama's mother.,Q03023,1_Q03023_362_1.jpg,1_Q03023_362_2.jpg,1_Q03023_362_3.jpg,,,,,,,,,,,,
13,What are some low-cost broadband internet providers?,F0004,10,cheap internet,are you interested in lowcost internet providers,I'm exploring options that might be more affordable.,Q00309,10_Q00309_3635_1.jpg,10_Q00309_3635_2.jpg,10_Q00309_3635_3.jpg,Are you interested in cheap internet?,Yes some low cost providers please.,Q05641,10_Q05641_1699_1.jpg,10_Q05641_1699_2.jpg,10_Q05641_1699_3.jpg,,,,,,,,,,,,
14,What are some low-cost broadband internet providers?,F0004,10,cheap internet,Would you like news on cheap internet?,I'm open to exploring options for affordable internet packages.,Q05642,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,are you looking for any bundles or deals,Yes. I am looking for low-cost broadband internet providers.,Q00734,10_Q00734_102_1.jpg,10_Q00734_102_2.jpg,10_Q00734_102_3.jpg,,,,,,,,,,,,
15,What are some low-cost broadband internet providers?,F0004,10,cheap internet,are you wondering where cheap internet is,I'm exploring some options for affordable internet services.,Q01453,10_Q01453_944_1.jpg,10_Q01453_944_2.jpg,10_Q01453_944_3.jpg,are you looking for any bundles or deals,Yes. I am looking for low-cost broadband internet providers.,Q00734,10_Q00734_102_1.jpg,10_Q00734_102_2.jpg,10_Q00734_102_3.jpg,,,,,,,,,,,,
16,What are some low-cost broadband internet providers?,F0004,10,cheap internet,Would you like news on cheap internet?,"I'm not particularly interested in that topic right now, but I might look into options later.",Q05642,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,or maybe free internet,Yeah I want to know some low-cost broadband internet providers.,Q02654,10_Q02654_434_1.jpg,10_Q02654_434_2.jpg,10_Q02654_434_3.jpg,,,,,,,,,,,,
17,What are some low-cost broadband internet providers?,F0004,10,cheap internet,are you wondering where cheap internet is,I’m interested in exploring some options for affordable internet services.,Q01453,10_Q01453_944_1.jpg,10_Q01453_944_2.jpg,10_Q01453_944_3.jpg,are you looking for information on any specific internet technology,I want to know about low cost providers.,Q00889,10_Q00889_2999_1.jpg,10_Q00889_2999_2.jpg,10_Q00889_2999_3.jpg,,,,,,,,,,,,
18,What are some low-cost broadband internet providers?,F0004,10,cheap internet,Would you like news on cheap internet?,"I’m not particularly interested in news, but I might be open to exploring options.",Q05642,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,are you wondering who used cheap internet,"no, I'm interested to know some low-cost broadband internet providers",Q01462,10_Q01462_1234_1.jpg,10_Q01462_1234_2.jpg,10_Q01462_1234_3.jpg,,,,,,,,,,,,
19,What are some low-cost broadband internet providers?,F0004,10,cheap internet,Would you like news on cheap internet?,I'm not specifically interested in updates about inexpensive internet services at the moment.,Q05642,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,are you looking for any bundles or deals,Yes. I am looking for low-cost broadband internet providers.,Q00734,10_Q00734_102_1.jpg,10_Q00734_102_2.jpg,10_Q00734_102_3.jpg,,,,,,,,,,,,
20,What are some low-cost broadband internet providers?,F0004,10,cheap internet,what companies have the lowestcost internet service,"I'm currently exploring options for internet service, but I'm not sure which providers are the most affordable.",Q02754,10_Q02754_1957_1.jpg,10_Q02754_1957_2.jpg,10_Q02754_1957_3.jpg,are you interested in finding cheap items on the internet,Yes. I would like to find some low-cost broadband internet providers.,Q00198,10_Q00198_3297_1.jpg,10_Q00198_3297_2.jpg,10_Q00198_3297_3.jpg,,,,,,,,,,,,
21,What are some low-cost broadband internet providers?,F0004,10,cheap internet,what companies have the lowestcost internet service,"That's a bit unclear to me, but I do have some interest in affordable internet options.",Q02754,10_Q02754_1957_1.jpg,10_Q02754_1957_2.jpg,10_Q02754_1957_3.jpg,are you interested in finding cheap items on the internet,Yes. I would like to find some low-cost broadband internet providers.,Q00198,10_Q00198_3297_1.jpg,10_Q00198_3297_2.jpg,10_Q00198_3297_3.jpg,,,,,,,,,,,,
22,Do any internet providers still sell dial-up?,F0005,10,cheap internet,are you looking for any bundles or deals,I'm not interested in bundles or deals at the moment.,Q00734,10_Q00734_102_1.jpg,10_Q00734_102_2.jpg,10_Q00734_102_3.jpg,are you looking to buy cheap internet,"Yes, is dial-up still available?",Q01144,10_Q01144_1362_1.jpg,10_Q01144_1362_2.jpg,10_Q01144_1362_3.jpg,,,,,,,,,,,,
23,Do any internet providers still sell dial-up?,F0005,10,cheap internet,or maybe free internet,I'm interested in exploring what's still available in terms of internet options.,Q02654,10_Q02654_434_1.jpg,10_Q02654_434_2.jpg,10_Q02654_434_3.jpg,are you wondering where cheap internet is,"no, wondering if internet providers still sell dial-up",Q01453,10_Q01453_944_1.jpg,10_Q01453_944_2.jpg,10_Q01453_944_3.jpg,,,,,,,,,,,,
24,Do any internet providers still sell dial-up?,F0005,10,cheap internet,what companies have the lowestcost internet service,"I'm interested in exploring different internet service options, including some that might not be as common today.",Q02754,10_Q02754_1957_1.jpg,10_Q02754_1957_2.jpg,10_Q02754_1957_3.jpg,are you wondering how to reduce your internet bill,No I want to know if dial up is still provided.,Q01435,10_Q01435_3289_1.jpg,10_Q01435_3289_2.jpg,10_Q01435_3289_3.jpg,,,,,,,,,,,,
25,Do any internet providers still sell dial-up?,F0005,10,cheap internet,are you looking for any bundles or deals,"I'm not entirely sure about that, but I might be exploring options.",Q00734,10_Q00734_102_1.jpg,10_Q00734_102_2.jpg,10_Q00734_102_3.jpg,are you wondering where cheap internet is,"no, wondering if internet providers still sell dial-up",Q01453,10_Q01453_944_1.jpg,10_Q01453_944_2.jpg,10_Q01453_944_3.jpg,,,,,,,,,,,,
26,Do any internet providers still sell dial-up?,F0005,10,cheap internet,are you looking for any bundles or deals,I'm not interested in any specific offers at this time.,Q00734,10_Q00734_102_1.jpg,10_Q00734_102_2.jpg,10_Q00734_102_3.jpg,are you wondering who used cheap internet,I actually need info on dial up.,Q01462,10_Q01462_1234_1.jpg,10_Q01462_1234_2.jpg,10_Q01462_1234_3.jpg,,,,,,,,,,,,
27,Do any internet providers still sell dial-up?,F0005,10,cheap internet,what companies have the lowestcost internet service,I'm curious about the options available in internet services.,Q02754,10_Q02754_1957_1.jpg,10_Q02754_1957_2.jpg,10_Q02754_1957_3.jpg,are you wondering how to reduce your internet bill,No I want to know if dial up is still provided.,Q01435,10_Q01435_3289_1.jpg,10_Q01435_3289_2.jpg,10_Q01435_3289_3.jpg,,,,,,,,,,,,
28,Do any internet providers still sell dial-up?,F0005,10,cheap internet,are you wondering who used cheap internet,"I'm not exactly sure who offers it, but I know it used to be popular among certain users.",Q01462,10_Q01462_1234_1.jpg,10_Q01462_1234_2.jpg,10_Q01462_1234_3.jpg,or maybe free internet,I'm not sure. I'm just wondering if any internet providers still sell dial up.,Q02654,10_Q02654_434_1.jpg,10_Q02654_434_2.jpg,10_Q02654_434_3.jpg,,,,,,,,,,,,
29,Who can provide inexpensive digital cable television bundled with internet service?,F0006,10,cheap internet,Do you want to see deals on cheap internet?,"I'm curious about options for bundled services, but I'm not ready to commit just yet.",Q05643,10_Q05643_1701_1.jpg,10_Q05643_1701_2.jpg,10_Q05643_1701_3.jpg,Would you like a home package deals?,yes,Q05639,10_Q05639_1697_1.jpg,10_Q05639_1697_2.jpg,10_Q05639_1697_3.jpg,,,,,,,,,,,,
30,Find me some providers of free wireless internet access.,F0007,10,cheap internet,are you wondering who used cheap internet,"I'm exploring options for reliable internet access, but I'm not quite sure of all the details yet.",Q01462,10_Q01462_1234_1.jpg,10_Q01462_1234_2.jpg,10_Q01462_1234_3.jpg,do you already have a phone service,"Yes but, I'm looking for providers of free wireless internet access.",Q01520,10_Q01520_3307_1.jpg,10_Q01520_3307_2.jpg,10_Q01520_3307_3.jpg,,,,,,,,,,,,
31,Find me some providers of free wireless internet access.,F0007,10,cheap internet,how do you know if your internet service is inexpensive,I'm just curious about where I can access free internet options.,Q02513,10_Q02513_2721_1.jpg,10_Q02513_2721_2.jpg,10_Q02513_2721_3.jpg,Are you interested in cheap internet?,I would prefer free internet service.,Q05641,10_Q05641_1699_1.jpg,10_Q05641_1699_2.jpg,10_Q05641_1699_3.jpg,,,,,,,,,,,,
32,Find me some providers of free wireless internet access.,F0007,10,cheap internet,are you wondering which provider has the cheapest internet,"I'm exploring options for internet access, but I'm not narrowing it down to just costs yet.",Q01460,10_Q01460_91_1.jpg,10_Q01460_91_2.jpg,10_Q01460_91_3.jpg,Would you like news on cheap internet?,perferably free,Q05642,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,,,,,,,,,,,,
33,Find me some providers of free wireless internet access.,F0007,10,cheap internet,Are you looking for cheap ways to purchase internet traffic?,I am interested in accessing the internet without incurring any costs.,Q05640,10_Q05640_1698_1.jpg,10_Q05640_1698_2.jpg,10_Q05640_1698_3.jpg,are you interested in lowcost internet providers,"Not really, but I'm interested in the providers of free wireless internet access.",Q00309,10_Q00309_3635_1.jpg,10_Q00309_3635_2.jpg,10_Q00309_3635_3.jpg,,,,,,,,,,,,
34,Find me some providers of free wireless internet access.,F0007,10,cheap internet,do you already have a phone service,"I'm interested in exploring options for connectivity, but I'm not fully committed to any particular service yet.",Q01520,10_Q01520_3307_1.jpg,10_Q01520_3307_2.jpg,10_Q01520_3307_3.jpg,or maybe free internet,"Yes, find me providers of free wireless internet.",Q02654,10_Q02654_434_1.jpg,10_Q02654_434_2.jpg,10_Q02654_434_3.jpg,,,,,,,,,,,,
35,Find me some providers of free wireless internet access.,F0007,10,cheap internet,Would you like a home package deals?,I'm primarily interested in exploring options for free internet access.,Q05639,10_Q05639_1697_1.jpg,10_Q05639_1697_2.jpg,10_Q05639_1697_3.jpg,Are you interested in cheap internet?,I would prefer free internet service.,Q05641,10_Q05641_1699_1.jpg,10_Q05641_1699_2.jpg,10_Q05641_1699_3.jpg,,,,,,,,,,,,
36,Find me some providers of free wireless internet access.,F0007,10,cheap internet,are you wondering where cheap internet is,"I'm not quite sure about specific options, but I do have an interest in finding some reliable sources.",Q01453,10_Q01453_944_1.jpg,10_Q01453_944_2.jpg,10_Q01453_944_3.jpg,do you already have a phone service,"Yes but, I'm looking for providers of free wireless internet access.",Q01520,10_Q01520_3307_1.jpg,10_Q01520_3307_2.jpg,10_Q01520_3307_3.jpg,,,,,,,,,,,,
37,Find me some providers of free wireless internet access.,F0007,10,cheap internet,are you wondering where cheap internet is,I'm exploring options for internet access.,Q01453,10_Q01453_944_1.jpg,10_Q01453_944_2.jpg,10_Q01453_944_3.jpg,how do you know if your internet service is inexpensive,I don't know,Q02513,10_Q02513_2721_1.jpg,10_Q02513_2721_2.jpg,10_Q02513_2721_3.jpg,,,,,,,,,,,,
38,Find me some providers of free wireless internet access.,F0007,10,cheap internet,Would you like a home package deals?,I'm primarily interested in finding options for accessing the internet without any cost.,Q05639,10_Q05639_1697_1.jpg,10_Q05639_1697_2.jpg,10_Q05639_1697_3.jpg,are you wondering who used cheap internet,I'm wondering about getting it for free actually.,Q01462,10_Q01462_1234_1.jpg,10_Q01462_1234_2.jpg,10_Q01462_1234_3.jpg,,,,,,,,,,,,
39,Find me some providers of free wireless internet access.,F0007,10,cheap internet,Would you like a home package deals?,I'm mainly interested in accessing some internet options right now.,Q05639,10_Q05639_1697_1.jpg,10_Q05639_1697_2.jpg,10_Q05639_1697_3.jpg,Are you interested in cheap internet?,I would prefer free internet service.,Q05641,10_Q05641_1699_1.jpg,10_Q05641_1699_2.jpg,10_Q05641_1699_3.jpg,,,,,,,,,,,,
40,Find me some providers of free wireless internet access.,F0007,10,cheap internet,Are you looking for cheap ways to purchase internet traffic?,I'm interested in exploring options for staying connected without incurring costs.,Q05640,10_Q05640_1698_1.jpg,10_Q05640_1698_2.jpg,10_Q05640_1698_3.jpg,Would you like to see the the cheapest internet providers?,Are there any free providers?,Q05638,10_Q05638_1696_1.jpg,10_Q05638_1696_2.jpg,10_Q05638_1696_3.jpg,,,,,,,,,,,,
41,Find me some providers of free wireless internet access.,F0007,10,cheap internet,are you wondering which provider has the cheapest internet,I'm primarily interested in exploring options for wireless internet access.,Q01460,10_Q01460_91_1.jpg,10_Q01460_91_2.jpg,10_Q01460_91_3.jpg,Would you like news on cheap internet?,perferably free,Q05642,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,,,,,,,,,,,,
42,Find me some providers of free wireless internet access.,F0007,10,cheap internet,are you wondering who used cheap internet,I'm interested in exploring options for accessible internet connections.,Q01462,10_Q01462_1234_1.jpg,10_Q01462_1234_2.jpg,10_Q01462_1234_3.jpg,Are you interested in cheap internet?,I would prefer free internet service.,Q05641,10_Q05641_1699_1.jpg,10_Q05641_1699_2.jpg,10_Q05641_1699_3.jpg,,,,,,,,,,,,
43,I want to find cheap DSL providers.,F0008,10,cheap internet,Do you want to see deals on cheap internet?,"I'm exploring options for affordable internet services, but I'm not certain what I'm specifically looking for yet.",Q05643,10_Q05643_1701_1.jpg,10_Q05643_1701_2.jpg,10_Q05643_1701_3.jpg,how do you know if your internet service is inexpensive,I don't know but I'm looking for cheap DSL providers.,Q02513,10_Q02513_2721_1.jpg,10_Q02513_2721_2.jpg,10_Q02513_2721_3.jpg,,,,,,,,,,,,
