facet,facet_id,topic_id,topic,image1_1,image1_2,image1_3,image2_1,image2_2,image2_3,image3_1,image3_2,image3_3,image4_1,image4_2,image4_3,query
"""how to play the board game """"Source of the Nile""""""",F0143,135,source of the nile,135_Q03042_1919_1.jpg,135_Q03042_1919_2.jpg,135_Q03042_1919_3.jpg,135_Q02328_1013_1.jpg,135_Q02328_1013_2.jpg,135_Q02328_1013_3.jpg,135_Q03673_2280_1.jpg,135_Q03673_2280_2.jpg,135_Q03673_2280_3.jpg,135_Q05202_1260_1.jpg,135_Q05202_1260_2.jpg,135_Q05202_1260_3.jpg,Learning about the Nile River.
Find Barret's Esophagus studies performed at the Mayo Clinic.,F0603,254,barrett's esophagus,254_Q05605_1663_1.jpg,254_Q05605_1663_2.jpg,254_Q05605_1663_3.jpg,254_Q03382_1931_1.jpg,254_Q03382_1931_2.jpg,254_Q03382_1931_3.jpg,254_Q03429_2556_1.jpg,254_Q03429_2556_2.jpg,254_Q03429_2556_3.jpg,254_Q03833_1985_1.jpg,254_Q03833_1985_2.jpg,254_Q03833_1985_3.jpg,No clear intent detected based on the statement provided.
How is CTS treated?,F0474,213,carpal tunnel syndrome,213_Q02389_3049_1.jpg,213_Q02389_3049_2.jpg,213_Q02389_3049_3.jpg,213_Q02250_2052_1.jpg,213_Q02250_2052_2.jpg,213_Q02250_2052_3.jpg,213_Q00572_3221_1.jpg,213_Q00572_3221_2.jpg,213_Q00572_3221_3.jpg,213_Q05612_1670_1.jpg,213_Q05612_1670_2.jpg,213_Q05612_1670_3.jpg,Learn about other aspects or details.
Find home remedies for a sore throat.,F0395,196,sore throat,196_Q00939_1620_1.jpg,196_Q00939_1620_2.jpg,196_Q00939_1620_3.jpg,196_Q05377_1435_1.jpg,196_Q05377_1435_2.jpg,196_Q05377_1435_3.jpg,196_Q03558_3272_1.jpg,196_Q03558_3272_2.jpg,196_Q03558_3272_3.jpg,196_Q05380_1438_1.jpg,196_Q05380_1438_2.jpg,196_Q05380_1438_3.jpg,The user is not expressing an interest in medicines for a sore throat.
Where can I buy teddy bears wholesale?,F0608,255,teddy bears,255_Q00094_1640_1.jpg,255_Q00094_1640_2.jpg,255_Q00094_1640_3.jpg,255_Q03309_2541_1.jpg,255_Q03309_2541_2.jpg,255_Q03309_2541_3.jpg,255_Q01140_1069_1.jpg,255_Q01140_1069_2.jpg,255_Q01140_1069_3.jpg,255_Q02334_1636_1.jpg,255_Q02334_1636_2.jpg,255_Q02334_1636_3.jpg,The user is not interested in a personalized teddy bear.
What is pink slime?,F0759,299,pink slime in ground beef,299_Q02265_1230_1.jpg,299_Q02265_1230_2.jpg,299_Q02265_1230_3.jpg,299_Q02440_3915_1.jpg,299_Q02440_3915_2.jpg,299_Q02440_3915_3.jpg,299_Q02135_2520_1.jpg,299_Q02135_2520_2.jpg,299_Q02135_2520_3.jpg,299_Q03911_1586_1.jpg,299_Q03911_1586_2.jpg,299_Q03911_1586_3.jpg,No intent expressed.
What treatments are available for Barrett's Esophagus?,F0598,254,barrett's esophagus,254_Q03836_363_1.jpg,254_Q03836_363_2.jpg,254_Q03836_363_3.jpg,254_Q00559_26_1.jpg,254_Q00559_26_2.jpg,254_Q00559_26_3.jpg,254_Q03352_3863_1.jpg,254_Q03352_3863_2.jpg,254_Q03352_3863_3.jpg,254_Q03707_997_1.jpg,254_Q03707_997_2.jpg,254_Q03707_997_3.jpg,Not interested in Barrett's esophagus references in the news.
Find information about iron as an essential nutrient.,F0879,55,iron,55_Q03128_2894_1.jpg,55_Q03128_2894_2.jpg,55_Q03128_2894_3.jpg,55_Q01143_2679_1.jpg,55_Q01143_2679_2.jpg,55_Q01143_2679_3.jpg,55_Q05358_1416_1.jpg,55_Q05358_1416_2.jpg,55_Q05358_1416_3.jpg,55_Q03511_1252_1.jpg,55_Q03511_1252_2.jpg,55_Q03511_1252_3.jpg,The user wants information on a topic other than items made from iron.
Find Discovery Channel store products based on the Animal Planet program.,F0872,53,discovery channel store,53_Q01587_896_1.jpg,53_Q01587_896_2.jpg,53_Q01587_896_3.jpg,53_Q01182_1899_1.jpg,53_Q01182_1899_2.jpg,53_Q01182_1899_3.jpg,53_Q04725_783_1.jpg,53_Q04724_782_2.jpg,53_Q04724_782_3.jpg,53_Q00649_1873_1.jpg,53_Q00649_1873_2.jpg,53_Q00649_1873_3.jpg,Decline providing a phone number.
Find information about human memory.,F0998,83,memory,83_Q01440_1952_1.jpg,83_Q01440_1952_2.jpg,83_Q01440_1952_3.jpg,83_Q00176_1542_1.jpg,83_Q00176_1542_2.jpg,83_Q00176_1542_3.jpg,83_Q01463_2042_1.jpg,83_Q01463_2042_2.jpg,83_Q01463_2042_3.jpg,83_Q03485_3453_1.jpg,83_Q03485_3453_2.jpg,83_Q03485_3453_3.jpg,The user is not considering the reliability of their memory at the moment.
information on clubs that host rock and gem shows,F0151,137,rock and gem shows,137_Q02951_1638_1.jpg,137_Q02951_1638_2.jpg,137_Q02951_1638_3.jpg,137_Q05549_1607_1.jpg,137_Q05549_1607_2.jpg,137_Q05549_1607_3.jpg,137_Q03170_3118_1.jpg,137_Q03170_3118_2.jpg,137_Q03170_3118_3.jpg,137_Q00204_3022_1.jpg,137_Q00204_3022_2.jpg,137_Q00204_3022_3.jpg,The user's intent is unclear.
Find a site where I can determine room price and availability.,F0011,101,ritz carlton lake las vegas,101_Q04390_448_1.jpg,101_Q04390_448_2.jpg,101_Q04390_448_3.jpg,101_Q01055_2046_1.jpg,101_Q01055_2046_2.jpg,101_Q01055_2046_3.jpg,101_Q03582_2711_1.jpg,101_Q03582_2711_2.jpg,101_Q03582_2711_3.jpg,101_Q04388_446_1.jpg,101_Q04388_446_2.jpg,101_Q04388_446_3.jpg,Not interested in the price of the Ritz Carlton in Las Vegas.
"Find games based on the InuYasha series, either online or for game systems.",F0699,28,inuyasha,28_Q03551_1942_1.jpg,28_Q03551_1942_2.jpg,28_Q03551_1942_3.jpg,28_Q05145_1203_1.jpg,28_Q05145_1203_2.jpg,28_Q05145_1203_3.jpg,28_Q00253_528_1.jpg,28_Q00253_528_2.jpg,28_Q00253_528_3.jpg,28_Q05149_1207_1.jpg,28_Q05149_1207_2.jpg,28_Q05149_1207_3.jpg,The user is not interested in knowing more about the Inuyasha illustrator and writer.
Find dealers that sell or rent Bobcat tractors and construction equipment.,F0971,77,bobcat,77_Q03589_2714_1.jpg,77_Q03589_2714_2.jpg,77_Q03589_2714_3.jpg,77_Q00585_3084_1.jpg,77_Q00585_3084_2.jpg,77_Q00585_3084_3.jpg,77_Q03613_2881_1.jpg,77_Q03613_2881_2.jpg,77_Q03613_2881_3.jpg,77_Q02941_1260_1.jpg,77_Q02941_1260_2.jpg,77_Q02941_1260_3.jpg,The user's intent is unclear based on the conversation.
Is there a golf gps system that can be used world wide?,F0465,210,golf gps,210_Q05201_1259_1.jpg,210_Q05201_1259_2.jpg,210_Q05201_1259_3.jpg,210_Q01161_2942_1.jpg,210_Q01161_2942_2.jpg,210_Q01161_2942_3.jpg,210_Q05196_1254_1.jpg,210_Q05196_1254_2.jpg,210_Q05196_1254_3.jpg,210_Q05198_1256_1.jpg,210_Q05198_1256_2.jpg,210_Q05198_1256_3.jpg,No interest in selecting a color for a GPS at this time.
Where can I get a cruise book for the USS Carl Vinson?,F0425,202,uss carl vinson,202_Q00508_1281_1.jpg,202_Q00508_1281_2.jpg,202_Q00508_1281_3.jpg,202_Q00242_1761_1.jpg,202_Q00242_1761_2.jpg,202_Q00242_1761_3.jpg,202_Q00561_377_1.jpg,202_Q00561_377_2.jpg,202_Q00561_377_3.jpg,202_Q05091_1149_1.jpg,202_Q05091_1149_2.jpg,202_Q05091_1149_3.jpg,The user is not interested in additional information about aircraft on the USS Carl Vinson.
What movies has Nicolas Cage appeared in?,F0488,216,nicolas cage movies,216_Q02681_980_1.jpg,216_Q02681_980_2.jpg,216_Q02681_980_3.jpg,216_Q00475_2381_1.jpg,216_Q00475_2381_2.jpg,216_Q00475_2381_3.jpg,216_Q02656_2186_1.jpg,216_Q02656_2186_2.jpg,216_Q02656_2186_3.jpg,216_Q02465_985_1.jpg,216_Q02465_985_2.jpg,216_Q02465_985_3.jpg,Learn about the next movie featuring a specific actor.
Do carpenter bees sting?,F0623,259,carpenter bee,259_Q02891_3676_1.jpg,259_Q02891_3676_2.jpg,259_Q02891_3676_3.jpg,259_Q05411_1469_1.jpg,259_Q05411_1469_2.jpg,259_Q05411_1469_3.jpg,259_Q02178_2857_1.jpg,259_Q02178_2857_2.jpg,259_Q02178_2857_3.jpg,259_Q01010_679_1.jpg,259_Q01010_679_2.jpg,259_Q01010_679_3.jpg,Find ways to prevent carpenter bees from damaging their property.
Is Brooks Brothers catalog merchandise available at their outlet stores?,F0376,190,brooks brothers clearance,190_Q01805_1624_1.jpg,190_Q01805_1624_2.jpg,190_Q01805_1624_3.jpg,190_Q01139_3550_1.jpg,190_Q01139_3550_2.jpg,190_Q01139_3550_3.jpg,190_Q03731_1945_1.jpg,190_Q03731_1945_2.jpg,190_Q03731_1945_3.jpg,190_Q02454_2132_1.jpg,190_Q02454_2132_2.jpg,190_Q02454_2132_3.jpg,Find clothing stores.
Whom can I contact if I think I am being discriminated against by an equal opportunity employer?,F0130,131,equal opportunity employer,131_Q03508_1739_1.jpg,131_Q03508_1739_2.jpg,131_Q03508_1739_3.jpg,131_Q04777_835_1.jpg,131_Q04777_835_2.jpg,131_Q04777_835_3.jpg,131_Q04775_833_1.jpg,131_Q04775_833_2.jpg,131_Q04775_833_3.jpg,131_Q02793_827_1.jpg,131_Q02793_827_2.jpg,131_Q02793_827_3.jpg,Determine eligibility for programs or opportunities.
Find the homepage of Hoveround scooters.,F0294,170,scooters,170_Q04441_499_1.jpg,170_Q04441_499_2.jpg,170_Q04441_499_3.jpg,170_Q04442_500_1.jpg,170_Q04442_500_2.jpg,170_Q04442_500_3.jpg,170_Q01351_3680_1.jpg,170_Q01351_3680_2.jpg,170_Q01351_3680_3.jpg,170_Q04445_503_1.jpg,170_Q04445_503_2.jpg,170_Q04445_503_3.jpg,The user's intent is not seeking information on adult scooter brands.
information about the drafting of the Declaration of Independence,F0135,133,all men are created equal,133_Q01385_2018_1.jpg,133_Q01385_2018_2.jpg,133_Q01385_2018_3.jpg,133_Q03741_1724_1.jpg,133_Q03741_1724_2.jpg,133_Q03741_1724_3.jpg,133_Q02769_2487_1.jpg,133_Q02769_2487_2.jpg,133_Q02769_2487_3.jpg,133_Q03514_3165_1.jpg,133_Q03514_3165_2.jpg,133_Q03514_3165_3.jpg,The user's intent is not focused on looking up the constitution.
"Find information on various types of computer memory, and how they are different.",F0999,83,memory,83_Q01121_2485_1.jpg,83_Q01121_2485_2.jpg,83_Q01121_2485_3.jpg,83_Q05013_1071_1.jpg,83_Q05013_1071_2.jpg,83_Q05013_1071_3.jpg,83_Q01463_2042_1.jpg,83_Q01463_2042_2.jpg,83_Q01463_2042_3.jpg,83_Q02646_3646_1.jpg,83_Q02646_3646_2.jpg,83_Q02646_3646_3.jpg,Not specified in this excerpt.
What are the regulations for hunting and fishing in Arizona?,F0239,16,arizona game and fish,16_Q05102_1160_1.jpg,16_Q05102_1160_2.jpg,16_Q05102_1160_3.jpg,16_Q05101_1159_1.jpg,16_Q05101_1159_2.jpg,16_Q05101_1159_3.jpg,16_Q03227_1610_1.jpg,16_Q03227_1610_2.jpg,16_Q03227_1610_3.jpg,16_Q01818_123_1.jpg,16_Q01818_123_2.jpg,16_Q01818_123_3.jpg,Decline to view a map.
What are the specifications of the PlayStation 2 console?,F0733,29,ps 2 games,29_Q00980_1701_1.jpg,29_Q00980_1701_2.jpg,29_Q00980_1701_3.jpg,29_Q04890_948_1.jpg,29_Q04890_948_2.jpg,29_Q04890_948_3.jpg,29_Q03066_1073_1.jpg,29_Q03066_1073_2.jpg,29_Q03066_1073_3.jpg,29_Q01239_2089_1.jpg,29_Q01239_2089_2.jpg,29_Q01239_2089_3.jpg,"The user is indicating what they are not seeking but has no explicit intention stated for something else. Given only the text, the intent cannot be specifically determined."
find information/timeline about Martha Stewart's insider trading case,F0185,148,martha stewart and imclone,148_Q00548_3497_1.jpg,148_Q00548_3497_2.jpg,148_Q00548_3497_3.jpg,148_Q04345_403_1.jpg,148_Q04345_403_2.jpg,148_Q04345_403_3.jpg,148_Q02128_3320_1.jpg,148_Q02128_3320_2.jpg,148_Q02128_3320_3.jpg,148_Q03035_2932_1.jpg,148_Q03035_2932_2.jpg,148_Q03035_2932_3.jpg,No intent identified.
Find information about Mister Rogers' Purple Panda.,F0690,278,mister rogers,278_Q04466_524_1.jpg,278_Q04466_524_2.jpg,278_Q04466_524_3.jpg,278_Q00209_2861_1.jpg,278_Q00209_2861_2.jpg,278_Q00209_2861_3.jpg,278_Q02560_3577_1.jpg,278_Q02560_3577_2.jpg,278_Q02560_3577_3.jpg,278_Q04471_529_1.jpg,278_Q04471_529_2.jpg,278_Q04471_529_3.jpg,The user is focused on topics other than Tom Hanks' portrayal of Mr. Rogers.
"""Find information on dogs' reproductive cycle. What does it mean when a dog is """"in heat""""?""",F0857,50,dog heat,50_Q03629_2897_1.jpg,50_Q03629_2897_2.jpg,50_Q03629_2897_3.jpg,50_Q05302_1360_1.jpg,50_Q05302_1360_2.jpg,50_Q05302_1360_3.jpg,50_Q03478_3854_1.jpg,50_Q03478_3854_2.jpg,50_Q03478_3854_3.jpg,50_Q05298_1356_1.jpg,50_Q05298_1356_2.jpg,50_Q05298_1356_3.jpg,The user is not seeking information about the symptoms of a dog in heat.
I'm looking for companies that manufacture residential toilets.,F0811,4,toilet,4_Q04772_830_1.jpg,4_Q04772_830_2.jpg,4_Q04772_830_3.jpg,4_Q01533_2264_1.jpg,4_Q01533_2264_2.jpg,4_Q01533_2264_3.jpg,4_Q01104_3410_1.jpg,4_Q01104_3410_2.jpg,4_Q01104_3410_3.jpg,4_Q02732_2157_1.jpg,4_Q02732_2157_2.jpg,4_Q02732_2157_3.jpg,The user intends to focus on something other than the parts of a toilet.
How is CTS treated?,F0474,213,carpal tunnel syndrome,213_Q00415_2004_1.jpg,213_Q00415_2004_2.jpg,213_Q00415_2004_3.jpg,213_Q01045_2522_1.jpg,213_Q01045_2522_2.jpg,213_Q01045_2522_3.jpg,213_Q01081_3358_1.jpg,213_Q01081_3358_2.jpg,213_Q01081_3358_3.jpg,213_Q05615_1673_1.jpg,213_Q05615_1673_2.jpg,213_Q05615_1673_3.jpg,The user is not interested in the causes.
Find a synopsis of Doctor Zhivago.,F0446,208,doctor zhivago,208_Q03415_549_1.jpg,208_Q03415_549_2.jpg,208_Q03415_549_3.jpg,208_Q00158_3202_1.jpg,208_Q00158_3202_2.jpg,208_Q00158_3202_3.jpg,208_Q03542_2192_1.jpg,208_Q03542_2192_2.jpg,208_Q03542_2192_3.jpg,208_Q02248_2328_1.jpg,208_Q02248_2328_2.jpg,208_Q02248_2328_3.jpg,Seeking information about something other than the 2002 ministries.
Find quotes from Fidel Castro.,F0717,288,fidel castro,288_Q05005_1063_1.jpg,288_Q05005_1063_2.jpg,288_Q05005_1063_3.jpg,288_Q01512_2416_1.jpg,288_Q01512_2416_2.jpg,288_Q01512_2416_3.jpg,288_Q01497_1956_1.jpg,288_Q01497_1956_2.jpg,288_Q01497_1956_3.jpg,288_Q02775_1035_1.jpg,288_Q02775_1035_2.jpg,288_Q02775_1035_3.jpg,No intent was expressed.
What are the recovery prospects for CTS surgical patients?,F0480,213,carpal tunnel syndrome,213_Q05613_1671_1.jpg,213_Q05613_1671_2.jpg,213_Q05613_1671_3.jpg,213_Q01582_455_1.jpg,213_Q01582_455_2.jpg,213_Q01582_455_3.jpg,213_Q00519_3098_1.jpg,213_Q00519_3098_2.jpg,213_Q00519_3098_3.jpg,213_Q02902_1913_1.jpg,213_Q02902_1913_2.jpg,213_Q02902_1913_3.jpg,Not interested in carpal tunnel treatments.
I'm looking for a Kohler wall-hung toilet. Where can I buy one?,F0815,4,toilet,4_Q04772_830_1.jpg,4_Q04772_830_2.jpg,4_Q04772_830_3.jpg,4_Q01654_1470_1.jpg,4_Q01654_1470_2.jpg,4_Q01654_1470_3.jpg,4_Q01374_2919_1.jpg,4_Q01374_2919_2.jpg,4_Q01374_2919_3.jpg,4_Q03183_3384_1.jpg,4_Q03183_3384_2.jpg,4_Q03183_3384_3.jpg,No intent detected.
Find sites where I can buy iron supplements.,F0881,55,iron,55_Q05357_1415_1.jpg,55_Q05357_1415_2.jpg,55_Q05357_1415_3.jpg,55_Q03454_1629_1.jpg,55_Q03454_1629_2.jpg,55_Q03454_1629_3.jpg,55_Q05362_1420_1.jpg,55_Q05362_1420_2.jpg,55_Q05362_1420_3.jpg,55_Q00637_1661_1.jpg,55_Q00637_1661_2.jpg,55_Q00637_1661_3.jpg,The user is not interested in discussing or choosing an iron based on color.
Find Mister Rogers videos.,F0688,278,mister rogers,278_Q00488_1611_1.jpg,278_Q00488_1611_2.jpg,278_Q00488_1611_3.jpg,278_Q02560_3577_1.jpg,278_Q02560_3577_2.jpg,278_Q02560_3577_3.jpg,278_Q00418_2663_1.jpg,278_Q00418_2663_2.jpg,278_Q00418_2663_3.jpg,278_Q04471_529_1.jpg,278_Q04471_529_2.jpg,278_Q04471_529_3.jpg,The user is not interested in the movie about Mister Rogers.
What is a good way to begin collecting old coins?,F0340,181,old coins,181_Q05436_1494_1.jpg,181_Q05436_1494_2.jpg,181_Q05436_1494_3.jpg,181_Q02606_376_1.jpg,181_Q02606_376_2.jpg,181_Q02606_376_3.jpg,181_Q05435_1493_1.jpg,181_Q05435_1493_2.jpg,181_Q05435_1493_3.jpg,181_Q05438_1496_1.jpg,181_Q05438_1496_2.jpg,181_Q05438_1496_3.jpg,No specific intent was shown.
What methods were used for the recovery of the USS Cole?,F0680,275,uss cole,275_Q04036_94_1.jpg,275_Q04036_94_2.jpg,275_Q04036_94_3.jpg,275_Q03703_761_1.jpg,275_Q03703_761_2.jpg,275_Q03703_761_3.jpg,275_Q04034_92_1.jpg,275_Q04034_92_2.jpg,275_Q04034_92_3.jpg,275_Q03721_402_1.jpg,275_Q03721_402_2.jpg,275_Q03721_402_3.jpg,The user is not interested in seeing the victims of the bombing.
Which exercises can bring relief from CTS?,F0477,213,carpal tunnel syndrome,213_Q00572_3221_1.jpg,213_Q00572_3221_2.jpg,213_Q00572_3221_3.jpg,213_Q02902_1913_1.jpg,213_Q02902_1913_2.jpg,213_Q02902_1913_3.jpg,213_Q00815_488_1.jpg,213_Q00815_488_2.jpg,213_Q00815_488_3.jpg,213_Q05612_1670_1.jpg,213_Q05612_1670_2.jpg,213_Q05612_1670_3.jpg,The user is not interested in learning about carpal tunnel syndrome symptoms.
Where can I get a used golf gps device?,F0466,210,golf gps,210_Q01675_284_1.jpg,210_Q01675_284_2.jpg,210_Q01675_284_3.jpg,210_Q02125_332_1.jpg,210_Q02125_332_2.jpg,210_Q02125_332_3.jpg,210_Q05197_1255_1.jpg,210_Q05197_1255_2.jpg,210_Q05197_1255_3.jpg,210_Q05196_1254_1.jpg,210_Q05196_1254_2.jpg,210_Q05196_1254_3.jpg,No intent detected.
Find the causes of CTS.,F0476,213,carpal tunnel syndrome,213_Q00815_488_1.jpg,213_Q00815_488_2.jpg,213_Q00815_488_3.jpg,213_Q01113_3390_1.jpg,213_Q01113_3390_2.jpg,213_Q01113_3390_3.jpg,213_Q03373_1048_1.jpg,213_Q03373_1048_2.jpg,213_Q03373_1048_3.jpg,213_Q03238_861_1.jpg,213_Q03238_861_2.jpg,213_Q03238_861_3.jpg,The user is expressing that they are not currently looking for doctors.
What are the educational benefits of social networking sites?,F0746,293,educational advantages of social networking sites,293_Q02768_2248_1.jpg,293_Q02768_2248_2.jpg,293_Q02768_2248_3.jpg,293_Q03998_56_1.jpg,293_Q03998_56_2.jpg,293_Q03998_56_3.jpg,293_Q01570_3325_1.jpg,293_Q01570_3325_2.jpg,293_Q01570_3325_3.jpg,293_Q03999_57_1.jpg,293_Q03999_57_2.jpg,293_Q03999_57_3.jpg,Clarification regarding which education group is being referred to.
Who got an Academy Award nomination for Doctor Zhivago?,F0447,208,doctor zhivago,208_Q02158_2519_1.jpg,208_Q02158_2519_2.jpg,208_Q02158_2519_3.jpg,208_Q04312_370_1.jpg,208_Q04312_370_2.jpg,208_Q04312_370_3.jpg,208_Q04317_375_1.jpg,208_Q04317_375_2.jpg,208_Q04317_375_3.jpg,208_Q01249_3622_1.jpg,208_Q01249_3622_2.jpg,208_Q01249_3622_3.jpg,Expressed no interest in the 1957 novel.
What movies has Ron Howard directed?,F0297,171,ron howard,171_Q02070_593_1.jpg,171_Q02070_593_2.jpg,171_Q02070_593_3.jpg,171_Q03938_1482_1.jpg,171_Q03938_1482_2.jpg,171_Q03938_1482_3.jpg,171_Q02946_3094_1.jpg,171_Q02946_3094_2.jpg,171_Q02946_3094_3.jpg,171_Q02155_2731_1.jpg,171_Q02155_2731_2.jpg,171_Q02155_2731_3.jpg,Not interested in discussing Ron Howard's age.
Find information about the Traverse City Record-Eagle.,F0523,226,traverse city,226_Q03947_5_1.jpg,226_Q03947_5_2.jpg,226_Q03947_5_3.jpg,226_Q03952_10_1.jpg,226_Q03952_10_2.jpg,226_Q03952_10_3.jpg,226_Q00354_3056_1.jpg,226_Q00354_3056_2.jpg,226_Q00354_3056_3.jpg,226_Q03923_893_1.jpg,226_Q03923_893_2.jpg,226_Q03923_893_3.jpg,"Interested in local news about Traverse City, Michigan."
Find information about the Conficker worm.,F0909,61,worm,61_Q02393_483_1.jpg,61_Q02393_483_2.jpg,61_Q02393_483_3.jpg,61_Q02013_3070_1.jpg,61_Q02013_3070_2.jpg,61_Q02013_3070_3.jpg,61_Q02014_2574_1.jpg,61_Q02014_2574_2.jpg,61_Q02014_2574_3.jpg,61_Q04149_207_1.jpg,61_Q04149_207_2.jpg,61_Q04149_207_3.jpg,Not interested in purchasing fishing bait.
Find current performances of The Music Man.,F0823,42,the music man,42_Q01092_70_1.jpg,42_Q01092_70_2.jpg,42_Q01092_70_3.jpg,42_Q00702_3448_1.jpg,42_Q00702_3448_2.jpg,42_Q00702_3448_3.jpg,42_Q02395_385_1.jpg,42_Q02395_385_2.jpg,42_Q02395_385_3.jpg,42_Q04811_869_1.jpg,42_Q04811_869_2.jpg,42_Q04811_869_3.jpg,The user is not seeking a script.
What are the best ways of disposing of dog waste?,F0386,193,dog clean up bags,193_Q01216_3085_1.jpg,193_Q01216_3085_2.jpg,193_Q01216_3085_3.jpg,193_Q04996_1054_1.jpg,193_Q04996_1054_2.jpg,193_Q04996_1054_3.jpg,193_Q02188_1334_1.jpg,193_Q02188_1334_2.jpg,193_Q02188_1334_3.jpg,193_Q04994_1052_1.jpg,193_Q04994_1052_2.jpg,193_Q04994_1052_3.jpg,The user is inquiring about types of dog clean-up bags.
Who was Boris Pasternak and how did his life affect his book?,F0449,208,doctor zhivago,208_Q04312_370_1.jpg,208_Q04312_370_2.jpg,208_Q04312_370_3.jpg,208_Q04313_371_1.jpg,208_Q04313_371_2.jpg,208_Q04313_371_3.jpg,208_Q04316_374_1.jpg,208_Q04316_374_2.jpg,208_Q04316_374_3.jpg,208_Q02645_2118_1.jpg,208_Q02645_2118_2.jpg,208_Q02645_2118_3.jpg,Not interested in seeing the cover of Doctor Zhivago.
How can I lower my heart rate?,F0626,26,lower heart rate,26_Q01543_576_1.jpg,26_Q01543_576_2.jpg,26_Q01543_576_3.jpg,26_Q03653_2855_1.jpg,26_Q03653_2855_2.jpg,26_Q03653_2855_3.jpg,26_Q04482_540_1.jpg,26_Q04482_540_2.jpg,26_Q04482_540_3.jpg,26_Q04485_543_1.jpg,26_Q04485_543_2.jpg,26_Q04485_543_3.jpg,Determining if high blood pressure is currently a concern.
How is a credit score determined?,F0359,185,credit report,185_Q04872_930_1.jpg,185_Q04872_930_2.jpg,185_Q04872_930_3.jpg,185_Q04877_935_1.jpg,185_Q04877_935_2.jpg,185_Q04877_935_3.jpg,185_Q04876_934_1.jpg,185_Q04876_934_2.jpg,185_Q04876_934_3.jpg,185_Q03428_2116_1.jpg,185_Q03428_2116_2.jpg,185_Q03428_2116_3.jpg,The user doesn't express interest in viewing a credit report.
"""Find the text of Hamlet's famous """"To be or not to be"""" soliloquy.""",F0946,70,to be or not to be that is the question,70_Q05022_1080_1.jpg,70_Q05022_1080_2.jpg,70_Q05022_1080_3.jpg,70_Q02330_951_1.jpg,70_Q02330_951_2.jpg,70_Q02330_951_3.jpg,70_Q05021_1079_1.jpg,70_Q05021_1079_2.jpg,70_Q05021_1079_3.jpg,70_Q01335_587_1.jpg,70_Q01335_587_2.jpg,70_Q01335_587_3.jpg,"The user is expressing disinterest in the origin of ""to be or not to be that is the question."""
What is ammonia used for in pink slime?,F0763,299,pink slime in ground beef,299_Q01438_1829_1.jpg,299_Q01438_1829_2.jpg,299_Q01438_1829_3.jpg,299_Q02436_1057_1.jpg,299_Q02436_1057_2.jpg,299_Q02436_1057_3.jpg,299_Q04758_816_1.jpg,299_Q04758_816_2.jpg,299_Q04758_816_3.jpg,299_Q01268_145_1.jpg,299_Q01268_145_2.jpg,299_Q01268_145_3.jpg,Seeking information about McDonald's ground beef.
Find information about solar panels that I can install on my home.,F0836,45,solar panels,45_Q00695_1791_1.jpg,45_Q00695_1791_2.jpg,45_Q00695_1791_3.jpg,45_Q04666_724_1.jpg,45_Q04666_724_2.jpg,45_Q04666_724_3.jpg,45_Q01792_1388_1.jpg,45_Q01792_1388_2.jpg,45_Q01792_1388_3.jpg,45_Q00898_544_1.jpg,45_Q00898_544_2.jpg,45_Q00898_544_3.jpg,Not interested in solar panels right now.
What are the cheapest web hosting companies? Who offers free web hosting?,F0778,32,website design hosting,32_Q05526_1584_1.jpg,32_Q05526_1584_2.jpg,32_Q05526_1584_3.jpg,32_Q02729_3460_1.jpg,32_Q02729_3460_2.jpg,32_Q02729_3460_3.jpg,32_Q05527_1585_1.jpg,32_Q05527_1585_2.jpg,32_Q05527_1585_3.jpg,32_Q02862_658_1.jpg,32_Q02862_658_2.jpg,32_Q02862_658_3.jpg,The user is not interested in website design hosting.
What are examples of the philosophy of Sun Tzu?,F0656,270,sun tzu,270_Q03497_3037_1.jpg,270_Q03497_3037_2.jpg,270_Q03497_3037_3.jpg,270_Q03873_2701_1.jpg,270_Q03873_2701_2.jpg,270_Q03873_2701_3.jpg,270_Q03317_3154_1.jpg,270_Q03317_3154_2.jpg,270_Q03317_3154_3.jpg,270_Q00299_562_1.jpg,270_Q00299_562_2.jpg,270_Q00299_562_3.jpg,The user does not want to know about the person's ethnicity.
How do you tie a Windsor knot?,F0752,295,how to tie a windsor knot,295_Q00709_3868_1.jpg,295_Q00709_3868_2.jpg,295_Q00709_3868_3.jpg,295_Q00711_1187_1.jpg,295_Q00711_1187_2.jpg,295_Q00711_1187_3.jpg,295_Q00182_3490_1.jpg,295_Q00182_3490_2.jpg,295_Q00182_3490_3.jpg,295_Q02101_1467_1.jpg,295_Q02101_1467_2.jpg,295_Q02101_1467_3.jpg,The user is seeking information on how something is done without the use of a video tutorial.
