facet,facet_id,topic_id,topic,image1_1,image1_2,image1_3,image2_1,image2_2,image2_3,image3_1,image3_2,image3_3,query
Find information about teddy bear picnics.,F0604,255,teddy bears,255_Q00401_3704_1.jpg,255_Q00401_3704_2.jpg,255_Q00401_3704_3.jpg,255_Q03069_3211_1.jpg,255_Q03069_3211_2.jpg,255_Q03069_3211_3.jpg,255_Q03545_2786_1.jpg,255_Q03545_2786_2.jpg,255_Q03545_2786_3.jpg,Learn about teddy bear picnics.
Find tips on grilling vegetables.,F0243,160,grilling,160_Q01080_591_1.jpg,160_Q01080_591_2.jpg,160_Q01080_591_3.jpg,160_Q00098_3064_1.jpg,160_Q00098_3064_2.jpg,160_Q00098_3064_3.jpg,160_Q05044_1102_1.jpg,160_Q05044_1102_2.jpg,160_Q05044_1102_3.jpg,The user is interested in tips for grilling vegetables.
I want to fill in the customer satisfaction survey about my interaction with a Tennessee Highway Patrol State Trooper.,F0200,150,tn highway patrol,150_Q04406_464_1.jpg,150_Q04406_464_2.jpg,150_Q04406_464_3.jpg,150_Q00563_1665_1.jpg,150_Q00563_1665_2.jpg,150_Q00563_1665_3.jpg,150_Q00266_1912_1.jpg,150_Q00266_1912_2.jpg,150_Q00266_1912_3.jpg,Find the customer satisfaction survey for interaction with a Tennessee Highway Patrol state trooper.
What is the common name for angular cheilitis?,F0208,152,angular cheilitis,152_Q04384_442_1.jpg,152_Q04384_442_2.jpg,152_Q04384_442_3.jpg,152_Q04385_443_1.jpg,152_Q04385_443_2.jpg,152_Q04385_443_3.jpg,152_Q00767_2715_1.jpg,152_Q00767_2715_2.jpg,152_Q00767_2715_3.jpg,Looking for the common name of angular cheilitis.
What treatments are available for Barrett's Esophagus?,F0598,254,barrett's esophagus,254_Q03823_1710_1.jpg,254_Q03823_1710_2.jpg,254_Q03823_1710_3.jpg,254_Q02012_1270_1.jpg,254_Q02012_1270_2.jpg,254_Q02012_1270_3.jpg,254_Q03914_2284_1.jpg,254_Q03914_2284_2.jpg,254_Q03914_2284_3.jpg,Explore treatment options for Barrett's Esophagus and speak to an expert about it.
Find episodes of ER I can download or watch online.,F1036,91,er tv show,91_Q04711_769_1.jpg,91_Q04711_769_2.jpg,91_Q04711_769_3.jpg,91_Q02306_734_1.jpg,91_Q02306_734_2.jpg,91_Q02306_734_3.jpg,91_Q00636_1268_1.jpg,91_Q00636_1268_2.jpg,91_Q00636_1268_3.jpg,"The user is interested in finding out the schedule for the TV show and looking for options to watch or download ""ER"" episodes online."
Take me to Rick Warren's homepage.,F0497,22,rick warren,22_Q04837_895_1.jpg,22_Q04837_895_2.jpg,22_Q04837_895_3.jpg,22_Q01606_2782_1.jpg,22_Q01606_2782_2.jpg,22_Q01606_2782_3.jpg,22_Q04838_896_1.jpg,22_Q04838_896_2.jpg,22_Q04838_896_3.jpg,Find Rick Warren's homepage and gather specific information on Obama's inauguration.
Find crash diet plans that promise quick weight loss in a short period of time.,F0977,78,dieting,78_Q04353_411_1.jpg,78_Q04353_411_2.jpg,78_Q04353_411_3.jpg,78_Q03158_3217_1.jpg,78_Q03158_3217_2.jpg,78_Q03158_3217_3.jpg,78_Q00368_3792_1.jpg,78_Q00368_3792_2.jpg,78_Q00368_3792_3.jpg,Exploring crash diet plans for quick weight loss.
Find famous quotes from Shakespeare's plays.,F0947,70,to be or not to be that is the question,70_Q01202_2698_1.jpg,70_Q01202_2698_2.jpg,70_Q01202_2698_3.jpg,70_Q01280_3857_1.jpg,70_Q01280_3857_2.jpg,70_Q01280_3857_3.jpg,70_Q05026_1084_1.jpg,70_Q05026_1084_2.jpg,70_Q05026_1084_3.jpg,Exploring quotes from Romeo and Juliet and other plays by a well-known playwright.
What were the ten worst tornadoes in the USA?,F0637,265,F5 tornado,265_Q02796_1516_1.jpg,265_Q02796_1516_2.jpg,265_Q02796_1516_3.jpg,265_Q03108_2501_1.jpg,265_Q03108_2501_2.jpg,265_Q03108_2501_3.jpg,265_Q02708_3439_1.jpg,265_Q02708_3439_2.jpg,265_Q02708_3439_3.jpg,The user wants to know what the ten worst tornadoes were in the US.
What are the best elliptical trainers for home use?,F0786,33,elliptical trainer,33_Q01844_2810_1.jpg,33_Q01844_2810_2.jpg,33_Q01844_2810_3.jpg,33_Q00766_936_1.jpg,33_Q00766_936_2.jpg,33_Q00766_936_3.jpg,33_Q01868_1106_1.jpg,33_Q01868_1106_2.jpg,33_Q01868_1106_3.jpg,Finding the best elliptical trainers for home use.
Find information about classic Atari games.,F0776,31,atari,31_Q00145_2334_1.jpg,31_Q00145_2334_2.jpg,31_Q00145_2334_3.jpg,31_Q00162_1301_1.jpg,31_Q00162_1301_2.jpg,31_Q00162_1301_3.jpg,31_Q05561_1619_1.jpg,31_Q05561_1619_2.jpg,31_Q05561_1619_3.jpg,Finding information about classic Atari games.
Where can I buy teddy bears wholesale?,F0608,255,teddy bears,255_Q04229_287_1.jpg,255_Q04229_287_2.jpg,255_Q04229_287_3.jpg,255_Q04230_288_1.jpg,255_Q04230_288_2.jpg,255_Q04230_288_3.jpg,255_Q04228_286_1.jpg,255_Q04228_286_2.jpg,255_Q04228_286_3.jpg,"Exploring different types of teddy bears, especially options for purchasing them in bulk from wholesale retailers."
"Find information on KCS Energy, Inc., and their merger with Petrohawk Energy Corporation.",F0900,6,kcs,6_Q04304_362_1.jpg,6_Q04304_362_2.jpg,6_Q04304_362_3.jpg,6_Q00923_2454_1.jpg,6_Q00923_2454_2.jpg,6_Q00923_2454_3.jpg,6_Q00101_1297_1.jpg,6_Q00101_1297_2.jpg,6_Q00101_1297_3.jpg,"Interested in recent mergers and acquisitions in the energy sector, particularly involving KCS Energy, Inc. and Casey's energy merger with Petra Hawk Energy Corporation."
What albums did the Beatles release?,F0227,157,the beatles rock band,157_Q04176_234_1.jpg,157_Q04176_234_2.jpg,157_Q04176_234_3.jpg,157_Q04173_231_1.jpg,157_Q04173_231_2.jpg,157_Q04173_231_3.jpg,157_Q03226_3679_1.jpg,157_Q03226_3679_2.jpg,157_Q03226_3679_3.jpg,Wants to know about the albums released by The Beatles.
Locate information about teddy bears by Steiff.,F0607,255,teddy bears,255_Q02496_2060_1.jpg,255_Q02496_2060_2.jpg,255_Q02496_2060_3.jpg,255_Q02806_5_1.jpg,255_Q02806_5_2.jpg,255_Q02806_5_3.jpg,255_Q00092_503_1.jpg,255_Q00092_503_2.jpg,255_Q00092_503_3.jpg,Interested in learning about Steiff teddy bears.
Where can I buy radio-controlled planes?,F0261,164,hobby stores,164_Q02629_357_1.jpg,164_Q02629_357_2.jpg,164_Q02629_357_3.jpg,164_Q02836_688_1.jpg,164_Q02836_688_2.jpg,164_Q02836_688_3.jpg,164_Q00659_1206_1.jpg,164_Q00659_1206_2.jpg,164_Q00659_1206_3.jpg,Find where to buy radio-controlled planes.
Find biographical information about former Secretary of State Condoleeza Rice.,F1055,96,rice,96_Q05152_1210_1.jpg,96_Q05152_1210_2.jpg,96_Q05152_1210_3.jpg,96_Q02090_1647_1.jpg,96_Q02090_1647_2.jpg,96_Q02090_1647_3.jpg,96_Q02197_29_1.jpg,96_Q02197_29_2.jpg,96_Q02197_29_3.jpg,"The user seeks information about Condoleezza Rice, a prominent figure in political history."
"Find information on the Hallmark Visitors Center in Kansas City, MO.",F0351,183,kansas city mo,183_Q04897_955_1.jpg,183_Q04897_955_2.jpg,183_Q04897_955_3.jpg,183_Q04896_954_1.jpg,183_Q04896_954_2.jpg,183_Q04896_954_3.jpg,183_Q00776_2967_1.jpg,183_Q00776_2967_2.jpg,183_Q00776_2967_3.jpg,"The user is looking for information on the Hallmark Visitors Center in Kansas City, Missouri."
What jobs are available at French Lick Casino and Resort?,F0408,2,french lick resort and casino,2_Q00211_1641_1.jpg,2_Q00211_1641_2.jpg,2_Q00211_1641_3.jpg,2_Q01876_1987_1.jpg,2_Q01876_1987_2.jpg,2_Q01876_1987_3.jpg,2_Q00777_2667_1.jpg,2_Q00777_2667_2.jpg,2_Q00777_2667_3.jpg,Looking for job opportunities at the French Lick Resort and Casino.
