facet,facet_id,topic_id,topic,image1_1,image1_2,image1_3,image2_1,image2_2,image2_3,image3_1,image3_2,image3_3,query
Find information about teddy bear picnics.,F0604,255,teddy bears,255_Q00401_3704_1.jpg,255_Q00401_3704_2.jpg,255_Q00401_3704_3.jpg,255_Q03069_3211_1.jpg,255_Q03069_3211_2.jpg,255_Q03069_3211_3.jpg,255_Q03545_2786_1.jpg,255_Q03545_2786_2.jpg,255_Q03545_2786_3.jpg,The user is not interested in teddy bear clipart or cartoons.
Find tips on grilling vegetables.,F0243,160,grilling,160_Q01080_591_1.jpg,160_Q01080_591_2.jpg,160_Q01080_591_3.jpg,160_Q00098_3064_1.jpg,160_Q00098_3064_2.jpg,160_Q00098_3064_3.jpg,160_Q05044_1102_1.jpg,160_Q05044_1102_2.jpg,160_Q05044_1102_3.jpg,Not interested in grilling magazine.
I want to fill in the customer satisfaction survey about my interaction with a Tennessee Highway Patrol State Trooper.,F0200,150,tn highway patrol,150_Q04406_464_1.jpg,150_Q04406_464_2.jpg,150_Q04406_464_3.jpg,150_Q00563_1665_1.jpg,150_Q00563_1665_2.jpg,150_Q00563_1665_3.jpg,150_Q00266_1912_1.jpg,150_Q00266_1912_2.jpg,150_Q00266_1912_3.jpg,Not interested in seeing the district.
What is the common name for angular cheilitis?,F0208,152,angular cheilitis,152_Q04384_442_1.jpg,152_Q04384_442_2.jpg,152_Q04384_442_3.jpg,152_Q04385_443_1.jpg,152_Q04385_443_2.jpg,152_Q04385_443_3.jpg,152_Q00767_2715_1.jpg,152_Q00767_2715_2.jpg,152_Q00767_2715_3.jpg,The user expresses disinterest in learning about angular cheilitis symptoms.
What treatments are available for Barrett's Esophagus?,F0598,254,barrett's esophagus,254_Q03823_1710_1.jpg,254_Q03823_1710_2.jpg,254_Q03823_1710_3.jpg,254_Q02012_1270_1.jpg,254_Q02012_1270_2.jpg,254_Q02012_1270_3.jpg,254_Q03914_2284_1.jpg,254_Q03914_2284_2.jpg,254_Q03914_2284_3.jpg,The user is currently not seeking visual information on Barrett's esophagus.
Find episodes of ER I can download or watch online.,F1036,91,er tv show,91_Q04711_769_1.jpg,91_Q04711_769_2.jpg,91_Q04711_769_3.jpg,91_Q02306_734_1.jpg,91_Q02306_734_2.jpg,91_Q02306_734_3.jpg,91_Q00636_1268_1.jpg,91_Q00636_1268_2.jpg,91_Q00636_1268_3.jpg,Determine what information the user wants.
Take me to Rick Warren's homepage.,F0497,22,rick warren,22_Q04837_895_1.jpg,22_Q04837_895_2.jpg,22_Q04837_895_3.jpg,22_Q01606_2782_1.jpg,22_Q01606_2782_2.jpg,22_Q01606_2782_3.jpg,22_Q04838_896_1.jpg,22_Q04838_896_2.jpg,22_Q04838_896_3.jpg,Not interested in Rick Warren quotes.
Find crash diet plans that promise quick weight loss in a short period of time.,F0977,78,dieting,78_Q04353_411_1.jpg,78_Q04353_411_2.jpg,78_Q04353_411_3.jpg,78_Q03158_3217_1.jpg,78_Q03158_3217_2.jpg,78_Q03158_3217_3.jpg,78_Q00368_3792_1.jpg,78_Q00368_3792_2.jpg,78_Q00368_3792_3.jpg,Not interested in healthy eating.
Find famous quotes from Shakespeare's plays.,F0947,70,to be or not to be that is the question,70_Q01202_2698_1.jpg,70_Q01202_2698_2.jpg,70_Q01202_2698_3.jpg,70_Q01280_3857_1.jpg,70_Q01280_3857_2.jpg,70_Q01280_3857_3.jpg,70_Q05026_1084_1.jpg,70_Q05026_1084_2.jpg,70_Q05026_1084_3.jpg,The user does not have a specific intent related to a philosopher.
What were the ten worst tornadoes in the USA?,F0637,265,F5 tornado,265_Q02796_1516_1.jpg,265_Q02796_1516_2.jpg,265_Q02796_1516_3.jpg,265_Q03108_2501_1.jpg,265_Q03108_2501_2.jpg,265_Q03108_2501_3.jpg,265_Q02708_3439_1.jpg,265_Q02708_3439_2.jpg,265_Q02708_3439_3.jpg,The user is seeking information on the top speed of F5 tornadoes.
