id,facet,facet_id,topic_id,topic,image1_1,image1_2,image1_3,image2_1,image2_2,image2_3,query
0,"""Find the TIME magazine photo essay """"Barack Obama's Family Tree"""".""",F0001,1,obama family tree,1_Q05588_1646_1.jpg,1_Q05588_1646_2.jpg,1_Q05588_1646_3.jpg,1_Q05589_1647_1.jpg,1_Q05589_1647_2.jpg,1_Q05589_1647_3.jpg,View the family tree with pictures.
1,"""Find the TIME magazine photo essay """"Barack Obama's Family Tree"""".""",F0001,1,obama family tree,1_Q05588_1646_1.jpg,1_Q05588_1646_2.jpg,1_Q05588_1646_3.jpg,1_Q03442_948_1.jpg,1_Q03442_948_2.jpg,1_Q03442_948_3.jpg,Wants to see the family tree with pictures.
2,"""Find the TIME magazine photo essay """"Barack Obama's Family Tree"""".""",F0001,1,obama family tree,1_Q05592_1650_1.jpg,1_Q05592_1650_2.jpg,1_Q05592_1650_3.jpg,1_Q05589_1647_1.jpg,1_Q05589_1647_2.jpg,1_Q05589_1647_3.jpg,Exploring content related to the Obamas.
3,"""Find the TIME magazine photo essay """"Barack Obama's Family Tree"""".""",F0001,1,obama family tree,1_Q05592_1650_1.jpg,1_Q05592_1650_2.jpg,1_Q05592_1650_3.jpg,1_Q05589_1647_1.jpg,1_Q05589_1647_2.jpg,1_Q05589_1647_3.jpg,Learning more about the Obamas.
4,"""Find the TIME magazine photo essay """"Barack Obama's Family Tree"""".""",F0001,1,obama family tree,1_Q05588_1646_1.jpg,1_Q05588_1646_2.jpg,1_Q05588_1646_3.jpg,1_Q05591_1649_1.jpg,1_Q05591_1649_2.jpg,1_Q05591_1649_3.jpg,View the family tree with pictures.
5,"""Find the TIME magazine photo essay """"Barack Obama's Family Tree"""".""",F0001,1,obama family tree,1_Q03351_1776_1.jpg,1_Q03351_1776_2.jpg,1_Q03351_1776_3.jpg,1_Q03071_1965_1.jpg,1_Q03071_1965_2.jpg,1_Q03071_1965_3.jpg,Learn about President Obama's family tree.
6,Where did Barack Obama's parents and grandparents come from?,F0002,1,obama family tree,1_Q02527_2079_1.jpg,1_Q02527_2079_2.jpg,1_Q02527_2079_3.jpg,1_Q05591_1649_1.jpg,1_Q05591_1649_2.jpg,1_Q05591_1649_3.jpg,Learn about President Obama's family background.
7,Where did Barack Obama's parents and grandparents come from?,F0002,1,obama family tree,1_Q02950_990_1.jpg,1_Q02950_990_2.jpg,1_Q02950_990_3.jpg,1_Q01286_2831_1.jpg,1_Q01286_2831_2.jpg,1_Q01286_2831_3.jpg,To learn more about Obama's family's heritage and background.
8,Where did Barack Obama's parents and grandparents come from?,F0002,1,obama family tree,1_Q02950_990_1.jpg,1_Q02950_990_2.jpg,1_Q02950_990_3.jpg,1_Q01286_2831_1.jpg,1_Q01286_2831_2.jpg,1_Q01286_2831_3.jpg,Curious about the background of Obama's family heritage.
9,Find biographical information on Barack Obama's mother.,F0003,1,obama family tree,1_Q03071_1965_1.jpg,1_Q03071_1965_2.jpg,1_Q03071_1965_3.jpg,1_Q00769_3039_1.jpg,1_Q00769_3039_2.jpg,1_Q00769_3039_3.jpg,"Learn about Obama's heritage, background, and family connections."
10,Find biographical information on Barack Obama's mother.,F0003,1,obama family tree,1_Q05589_1647_1.jpg,1_Q05589_1647_2.jpg,1_Q05589_1647_3.jpg,1_Q03023_362_1.jpg,1_Q03023_362_2.jpg,1_Q03023_362_3.jpg,Explore specific details about Obama's family background.
