id,facet,facet_id,topic_id,topic,question1,answer1,id_1,image1_1,image1_2,image1_3,question2,answer2,id_2,image2_1,image2_2,image2_3,question3,answer3,id_3,image3_1,image3_2,image3_3,question4,answer4,id_4,image4_1,image4_2,image4_3
0,Do any internet providers still sell dial-up?,F0005,10,cheap internet,Would you like a home package deals?,"No, that's not something I'm looking for.  ",Q05639,10_Q05639_1697_1.jpg,10_Q05639_1697_2.jpg,10_Q05639_1697_3.jpg,are you wondering which provider has the cheapest internet,"No, I'm not interested in that option.",Q01460,10_Q01460_91_1.jpg,10_Q01460_91_2.jpg,10_Q01460_91_3.jpg,Do you want to see deals on cheap internet?,"I'm not interested in that right now, but I might be open to exploring different options later.",Q05643,10_Q05643_1701_1.jpg,10_Q05643_1701_2.jpg,10_Q05643_1701_3.jpg,Are you looking for cheap ways to purchase internet traffic?,"No, I'm looking for internet service.",Q05640,10_Q05640_1698_1.jpg,10_Q05640_1698_2.jpg,10_Q05640_1698_3.jpg
1,Do any internet providers still sell dial-up?,F0005,10,cheap internet,are you wondering where cheap internet is,"No, that’s not what I’m looking for.  ",Q01453,10_Q01453_944_1.jpg,10_Q01453_944_2.jpg,10_Q01453_944_3.jpg,Do you want to see deals on cheap internet?,"No, I’m not interested in that right now.",Q05643,10_Q05643_1701_1.jpg,10_Q05643_1701_2.jpg,10_Q05643_1701_3.jpg,Would you like to see the the cheapest internet providers?,I'm not interested in the cheapest options at the moment.,Q05638,10_Q05638_1696_1.jpg,10_Q05638_1696_2.jpg,10_Q05638_1696_3.jpg,Would you like news on cheap internet?,yes i need to know if any of them still have dial-up internet,Q05642,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg
2,Do any internet providers still sell dial-up?,F0005,10,cheap internet,are you looking for any bundles or deals,"No, I am not interested in that service.  ",Q00734,10_Q00734_102_1.jpg,10_Q00734_102_2.jpg,10_Q00734_102_3.jpg,are you wondering where cheap internet is,"No, I don't need information on that option.",Q01453,10_Q01453_944_1.jpg,10_Q01453_944_2.jpg,10_Q01453_944_3.jpg,do you already have a phone service,"I'm interested in internet options, particularly related to dial-up.",Q01520,10_Q01520_3307_1.jpg,10_Q01520_3307_2.jpg,10_Q01520_3307_3.jpg,Would you like news on cheap internet?,yes i need to know if any of them still have dial-up internet,Q05642,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg
3,Do any internet providers still sell dial-up?,F0005,10,cheap internet,Do you want to see deals on cheap internet?,"No, I prefer faster options for connectivity.  ",Q05643,10_Q05643_1701_1.jpg,10_Q05643_1701_2.jpg,10_Q05643_1701_3.jpg,Are you looking for cheap ways to purchase internet traffic?,"No, I’m not interested in that type of service.",Q05640,10_Q05640_1698_1.jpg,10_Q05640_1698_2.jpg,10_Q05640_1698_3.jpg,what companies have the lowestcost internet service,"I am exploring my options for internet service, but I'm not certain what the best choice is yet.",Q02754,10_Q02754_1957_1.jpg,10_Q02754_1957_2.jpg,10_Q02754_1957_3.jpg,Would you like to see the the cheapest internet providers?,"no, I'm looking for dial-up",Q05638,10_Q05638_1696_1.jpg,10_Q05638_1696_2.jpg,10_Q05638_1696_3.jpg
4,Find me some providers of free wireless internet access.,F0007,10,cheap internet,Would you like a home package deals?,"No, that’s not what I’m looking for.  ",Q05639,10_Q05639_1697_1.jpg,10_Q05639_1697_2.jpg,10_Q05639_1697_3.jpg,Are you looking for cheap ways to purchase internet traffic?,"No, that’s not my focus right now.",Q05640,10_Q05640_1698_1.jpg,10_Q05640_1698_2.jpg,10_Q05640_1698_3.jpg,Would you like news on cheap internet?,I'm particularly interested in options that are free of charge.,Q05642,10_Q05642_1700_1.jpg,10_Q05642_1700_2.jpg,10_Q05642_1700_3.jpg,Do you want to see deals on cheap internet?,I want to see providers that offer this for free.,Q05643,10_Q05643_1701_1.jpg,10_Q05643_1701_2.jpg,10_Q05643_1701_3.jpg
5,Is there a way to get internet access without phone service?,F0009,10,cheap internet,are you interested in finding cheap items on the internet,This is not something I'm looking into.  ,Q00198,10_Q00198_3297_1.jpg,10_Q00198_3297_2.jpg,10_Q00198_3297_3.jpg,what companies have the lowestcost internet service,I'm not engaged in that right now.,Q02754,10_Q02754_1957_1.jpg,10_Q02754_1957_2.jpg,10_Q02754_1957_3.jpg,Would you like to see the the cheapest internet providers?,I am interested in exploring options for internet access that might not involve traditional phone services.,Q05638,10_Q05638_1696_1.jpg,10_Q05638_1696_2.jpg,10_Q05638_1696_3.jpg,are you wondering which provider has the cheapest internet,No. I would like to find Internet access without phone service.,Q01460,10_Q01460_91_1.jpg,10_Q01460_91_2.jpg,10_Q01460_91_3.jpg
6,Find a site where I can determine room price and availability.,F0011,101,ritz carlton lake las vegas,Are you interested in the price of the Ritz Carlton in Las Vegas?,"No, I am not interested in that.  ",Q04390,101_Q04390_448_1.jpg,101_Q04390_448_2.jpg,101_Q04390_448_3.jpg,are you looking for the closest lake to the ritz carlton in las vegas,"No, that's not what I'm looking for.",Q01055,101_Q01055_2046_1.jpg,101_Q01055_2046_2.jpg,101_Q01055_2046_3.jpg,would you like to know the capacity of ritz carlton lake las vegas,I'm primarily interested in checking prices and availability for accommodations.,Q03582,101_Q03582_2711_1.jpg,101_Q03582_2711_2.jpg,101_Q03582_2711_3.jpg,Are you interested in seeing the hotel room that are located by the Ritz Carlton Lake in Las Vegas?,"I appreciate the suggestion, but I'm really looking to find a site where I can determine room price and availability.",Q04388,101_Q04388_446_1.jpg,101_Q04388_446_2.jpg,101_Q04388_446_3.jpg
7,Find directions to the Ritz Carlton Lake Las Vegas.,F0012,101,ritz carlton lake las vegas,Are you interested in the history of the Ritz Carlton in Las Vegas?,"No, I'm focused on getting directions instead.  ",Q04392,101_Q04392_450_1.jpg,101_Q04392_450_2.jpg,101_Q04392_450_3.jpg,would you like to know the capacity of ritz carlton lake las vegas,"No, I don't have a need for that information.",Q03582,101_Q03582_2711_1.jpg,101_Q03582_2711_2.jpg,101_Q03582_2711_3.jpg,Are you interested in the price of the Ritz Carlton in Las Vegas?,"I’m primarily focused on getting directions, not so much on the cost aspect right now.",Q04390,101_Q04390_448_1.jpg,101_Q04390_448_2.jpg,101_Q04390_448_3.jpg,would you like to know where ritz carlton lake las vegas is on a map,"Yes, I would like to find directions to the Ritz Carlton Lake Las Vegas on a map.",Q03695,101_Q03695_401_1.jpg,101_Q03695_401_2.jpg,101_Q03695_401_3.jpg
8,Find information about the business that C. J. Walker started.,F0020,103,madam cj walker,are you looking for her whereabouts,"No, that's not what I need right now.  ",Q00853,103_Q00853_3489_1.jpg,103_Q00853_3489_2.jpg,103_Q00853_3489_3.jpg,would you like to see facts about madam cj walkers early life,"No, that doesn't interest me at the moment.",Q03842,103_Q03842_1755_1.jpg,103_Q03842_1755_2.jpg,103_Q03842_1755_3.jpg,"Are you wanting information about madam cj walker dolls, books, commemorative items, or something else?",I'm interested in learning more about her entrepreneurial efforts.,Q05487,103_Q05487_1545_1.jpg,103_Q05487_1545_2.jpg,103_Q05487_1545_3.jpg,are you looking for any specific information about the business she started,I’m interested in finding information about the business that C. J. Walker started.,Q00744,103_Q00744_431_1.jpg,103_Q00744_431_2.jpg,103_Q00744_431_3.jpg
9,Find information about C. J. Walker's involvement in the political and social issues of her day.,F0021,103,madam cj walker,Would you like to know about the self made millionaire?,"No, that's not something I'm particularly interested in.  ",Q05486,103_Q05486_1544_1.jpg,103_Q05486_1544_2.jpg,103_Q05486_1544_3.jpg,do you want to know what madam cj walker invented,"No, I don't have any desire to learn about that.",Q02290,103_Q02290_1055_1.jpg,103_Q02290_1055_2.jpg,103_Q02290_1055_3.jpg,would you like to see examples of walkers impact on current hair styling,I’m more interested in understanding her broader impact on social issues rather than current trends in hair styling.,Q03841,103_Q03841_315_1.jpg,103_Q03841_315_2.jpg,103_Q03841_315_3.jpg,are you looking for any specific information about the business she started,"No, I am looking for her involvement in political and social issues.",Q00744,103_Q00744_431_1.jpg,103_Q00744_431_2.jpg,103_Q00744_431_3.jpg
